gamme_id,code,designation,piece_id,nb_phases,duree_totale_estimee,version,statut
35,GAM0035,Gamme Manivelle REF-MAN-0099,99,4,85,1.0,ACTIVE
36,GAM0036,Gamme Palier REF-PAL-0086,86,7,158,1.0,ACTIVE
37,GAM0037,Gamme Rond REF-RON-0108,108,5,120,1.0,ACTIVE
38,GAM0038,Gamme Pignon REF-PIG-0218,218,6,139,1.0,ACTIVE
39,GAM0039,Gamme Clavette REF-CLA-0223,223,5,154,1.0,ACTIVE
40,GAM0040,Gamme Plaque REF-PLA-0079,79,3,65,2.0,OBSOLETE
41,GAM0041,Gamme Pignon REF-PIG-0038,38,3,54,2.0,ACTIVE
42,GAM0042,Gamme Support REF-SUP-0295,295,6,190,2.0,ACTIVE
43,GAM0043,Gamme Coussinet REF-COU-0231,231,5,149,2.0,ACTIVE
44,GAM0044,Gamme Flasque REF-FLA-0200,200,5,148,1.0,ACTIVE
45,GAM0045,Gamme Rond REF-RON-0033,33,5,144,1.0,ACTIVE
46,GAM0046,Gamme Pignon REF-PIG-0038,38,4,87,1.0,ACTIVE
47,GAM0047,Gamme Flasque REF-FLA-0155,155,5,130,2.0,ACTIVE
48,GAM0048,Gamme Arbre REF-ARB-0225,225,4,70,1.0,ACTIVE
49,GAM0049,Gamme Plaque REF-PLA-0274,274,4,108,2.0,ACTIVE
50,GAM0050,Gamme Support REF-SUP-0280,280,4,112,1.0,ACTIVE
51,GAM0051,Gamme Ressort REF-RES-0192,192,7,159,1.0,ACTIVE
52,GAM0052,Gamme Arbre REF-ARB-0285,285,3,109,1.0,OBSOLETE
53,GAM0053,Gamme Engrenage REF-ENG-0202,202,5,102,1.0,ACTIVE
54,GAM0054,Gamme Ressort REF-RES-0177,177,4,96,1.0,ACTIVE
55,GAM0055,Gamme Manivelle REF-MAN-0114,114,5,171,2.0,ACTIVE
56,GAM0056,Gamme Rond REF-RON-0093,93,5,127,1.0,ACTIVE
57,GAM0057,Gamme Ressort REF-RES-0282,282,4,105,1.0,ACTIVE
58,GAM0058,Gamme Flasque REF-FLA-0035,35,4,137,1.0,ACTIVE
59,GAM0059,Gamme Support REF-SUP-0250,250,7,201,2.0,ACTIVE
60,GAM0060,Gamme Douille REF-DOU-0121,121,3,62,1.0,ACTIVE
61,GAM0061,Gamme Clavette REF-CLA-0163,163,4,97,2.0,ACTIVE
62,GAM0062,Gamme Engrenage REF-ENG-0157,157,5,154,1.0,ACTIVE
63,GAM0063,Gamme Engrenage REF-ENG-0187,187,6,91,2.0,ACTIVE
64,GAM0064,Gamme Palier REF-PAL-0161,161,4,104,1.0,ACTIVE
65,GAM0065,Gamme Ecrou REF-ECR-0224,224,4,63,2.0,ACTIVE
66,GAM0066,Gamme Flasque REF-FLA-0170,170,6,225,2.0,ACTIVE
67,GAM0067,Gamme Engrenage REF-ENG-0157,157,4,92,1.0,ACTIVE
68,GAM0068,Gamme Ressort REF-RES-0042,42,6,130,1.0,ACTIVE
69,GAM0069,Gamme Palier REF-PAL-0101,101,4,105,1.0,ACTIVE
70,GAM0070,Gamme Support REF-SUP-0010,10,6,181,1.0,ACTIVE
71,GAM0071,Gamme Ressort REF-RES-0297,297,4,90,1.0,ACTIVE
72,GAM0072,Gamme Clavette REF-CLA-0283,283,4,122,2.0,ACTIVE
73,GAM0073,Gamme Bague REF-BAG-0077,77,4,86,1.0,ACTIVE
74,GAM0074,Gamme Ecrou REF-ECR-0149,149,3,58,1.0,ACTIVE
75,GAM0075,Gamme Rond REF-RON-0258,258,3,42,1.0,ACTIVE
76,GAM0076,Gamme Support REF-SUP-0085,85,5,100,1.0,ACTIVE
77,GAM0077,Gamme Bague REF-BAG-0092,92,5,107,1.0,ACTIVE
78,GAM0078,Gamme Pignon REF-PIG-0248,248,6,153,1.0,ACTIVE
79,GAM0079,Gamme Support REF-SUP-0250,250,4,100,2.0,ACTIVE
80,GAM0080,Gamme Engrenage REF-ENG-0022,22,5,104,2.0,ACTIVE
81,GAM0081,Gamme Pignon REF-PIG-0233,233,6,167,1.0,ACTIVE
82,GAM0082,Gamme Douille REF-DOU-0166,166,3,57,2.0,ACTIVE
83,GAM0083,Gamme Arbre REF-ARB-0135,135,5,126,1.0,ACTIVE
84,GAM0084,Gamme Ecrou REF-ECR-0194,194,4,109,1.0,ACTIVE
85,GAM0085,Gamme Clavette REF-CLA-0193,193,7,177,1.0,ACTIVE
86,GAM0086,Gamme Douille REF-DOU-0181,181,6,219,2.0,ACTIVE
87,GAM0087,Gamme Engrenage REF-ENG-0247,247,6,230,1.0,ACTIVE
88,GAM0088,Gamme Ressort REF-RES-0072,72,4,88,1.0,ACTIVE
89,GAM0089,Gamme Manivelle REF-MAN-0144,144,4,112,1.0,ACTIVE
90,GAM0090,Gamme Douille REF-DOU-0061,61,5,120,2.0,ACTIVE
91,GAM0091,Gamme Ecrou REF-ECR-0059,59,4,132,2.0,ACTIVE
92,GAM0092,Gamme Pignon REF-PIG-0083,83,5,154,2.0,OBSOLETE
93,GAM0093,Gamme Pignon REF-PIG-0023,23,3,55,1.0,ACTIVE
94,GAM0094,Gamme Pignon REF-PIG-0263,263,3,50,1.0,ACTIVE
95,GAM0095,Gamme Clavette REF-CLA-0133,133,6,168,2.0,ACTIVE
96,GAM0096,Gamme Plaque REF-PLA-0289,289,5,107,2.0,ACTIVE
97,GAM0097,Gamme Coussinet REF-COU-0111,111,4,115,2.0,ACTIVE
98,GAM0098,Gamme Clavette REF-CLA-0088,88,4,76,2.0,ACTIVE
99,GAM0099,Gamme Ecrou REF-ECR-0299,299,6,170,1.0,ACTIVE
100,GAM0100,Gamme Engrenage REF-ENG-0262,262,4,118,2.0,ACTIVE
101,GAM0101,Gamme Coussinet REF-COU-0036,36,4,103,2.0,ACTIVE
102,GAM0102,Gamme Manivelle REF-MAN-0009,9,4,118,2.0,ACTIVE
103,GAM0103,Gamme Flasque REF-FLA-0050,50,3,71,1.0,ACTIVE
104,GAM0104,Gamme Rond REF-RON-0273,273,5,158,1.0,ACTIVE
105,GAM0105,Gamme Engrenage REF-ENG-0067,67,6,182,1.0,ACTIVE
106,GAM0106,Gamme Palier REF-PAL-0221,221,5,90,2.0,ACTIVE
107,GAM0107,Gamme Bague REF-BAG-0272,272,4,86,2.0,ACTIVE
108,GAM0108,Gamme Douille REF-DOU-0196,196,4,118,1.0,ACTIVE
109,GAM0109,Gamme Palier REF-PAL-0131,131,4,74,1.0,ACTIVE
110,GAM0110,Gamme Clavette REF-CLA-0043,43,4,130,2.0,ACTIVE
111,GAM0111,Gamme Rond REF-RON-0003,3,5,115,1.0,ACTIVE
112,GAM0112,Gamme Douille REF-DOU-0061,61,5,106,2.0,ACTIVE
113,GAM0113,Gamme Ressort REF-RES-0162,162,4,123,1.0,ACTIVE
114,GAM0114,Gamme Arbre REF-ARB-0300,300,4,102,2.0,ACTIVE
115,GAM0115,Gamme Engrenage REF-ENG-0142,142,7,178,2.0,ACTIVE
116,GAM0116,Gamme Bague REF-BAG-0212,212,5,130,2.0,ACTIVE
117,GAM0117,Gamme Bague REF-BAG-0287,287,5,153,2.0,ACTIVE
118,GAM0118,Gamme Palier REF-PAL-0296,296,4,109,2.0,ACTIVE
119,GAM0119,Gamme Douille REF-DOU-0061,61,5,116,2.0,ACTIVE
120,GAM0120,Gamme Pignon REF-PIG-0083,83,3,75,2.0,ACTIVE
121,GAM0121,Gamme Ressort REF-RES-0282,282,5,94,1.0,ACTIVE
122,GAM0122,Gamme Rond REF-RON-0003,3,6,120,1.0,ACTIVE
123,GAM0123,Gamme Clavette REF-CLA-0223,223,3,55,2.0,ACTIVE
124,GAM0124,Gamme Palier REF-PAL-0041,41,5,127,2.0,ACTIVE
125,GAM0125,Gamme Palier REF-PAL-0206,206,5,176,2.0,ACTIVE
126,GAM0126,Gamme Arbre REF-ARB-0030,30,6,171,1.0,ACTIVE
127,GAM0127,Gamme Arbre REF-ARB-0225,225,3,63,2.0,ACTIVE
128,GAM0128,Gamme Engrenage REF-ENG-0262,262,5,93,1.0,ACTIVE
129,GAM0129,Gamme Plaque REF-PLA-0019,19,4,101,1.0,ACTIVE
130,GAM0130,Gamme Arbre REF-ARB-0045,45,7,143,2.0,ACTIVE
131,GAM0131,Gamme Pignon REF-PIG-0203,203,4,111,1.0,ACTIVE
132,GAM0132,Gamme Coussinet REF-COU-0036,36,6,178,2.0,ACTIVE
133,GAM0133,Gamme Bague REF-BAG-0287,287,6,196,2.0,ACTIVE
134,GAM0134,Gamme Engrenage REF-ENG-0142,142,4,57,1.0,ACTIVE
135,GAM0135,Gamme Ressort REF-RES-0207,207,5,180,2.0,ACTIVE
136,GAM0136,Gamme Flasque REF-FLA-0260,260,3,58,1.0,ACTIVE
137,GAM0137,Gamme Support REF-SUP-0175,175,6,197,2.0,ACTIVE
138,GAM0138,Gamme Support REF-SUP-0295,295,4,125,2.0,ACTIVE
139,GAM0139,Gamme Plaque REF-PLA-0289,289,4,105,1.0,ACTIVE
140,GAM0140,Gamme Support REF-SUP-0235,235,5,142,1.0,ACTIVE
141,GAM0141,Gamme Clavette REF-CLA-0133,133,3,42,1.0,ACTIVE
142,GAM0142,Gamme Clavette REF-CLA-0118,118,6,202,2.0,ACTIVE
143,GAM0143,Gamme Support REF-SUP-0265,265,5,165,2.0,ACTIVE
144,GAM0144,Gamme Rond REF-RON-0048,48,4,150,2.0,ACTIVE
145,GAM0145,Gamme Bague REF-BAG-0092,92,4,95,2.0,ACTIVE
146,GAM0146,Gamme Manivelle REF-MAN-0294,294,4,106,1.0,ACTIVE
147,GAM0147,Gamme Clavette REF-CLA-0103,103,4,61,1.0,ACTIVE
148,GAM0148,Gamme Douille REF-DOU-0106,106,4,60,1.0,ACTIVE
149,GAM0149,Gamme Rond REF-RON-0183,183,3,42,1.0,ACTIVE
150,GAM0150,Gamme Palier REF-PAL-0041,41,5,168,2.0,ACTIVE
151,GAM0151,Gamme Pignon REF-PIG-0278,278,7,193,2.0,ACTIVE
152,GAM0152,Gamme Ressort REF-RES-0162,162,4,115,2.0,ACTIVE
153,GAM0153,Gamme Engrenage REF-ENG-0262,262,4,72,1.0,ACTIVE
154,GAM0154,Gamme Coussinet REF-COU-0066,66,3,76,2.0,ACTIVE
155,GAM0155,Gamme Engrenage REF-ENG-0277,277,3,56,2.0,ACTIVE
156,GAM0156,Gamme Arbre REF-ARB-0090,90,4,95,1.0,ACTIVE
157,GAM0157,Gamme Palier REF-PAL-0236,236,4,104,1.0,OBSOLETE
158,GAM0158,Gamme Rond REF-RON-0108,108,4,86,1.0,ACTIVE
159,GAM0159,Gamme Clavette REF-CLA-0133,133,3,51,2.0,ACTIVE
160,GAM0160,Gamme Bague REF-BAG-0242,242,7,223,2.0,ACTIVE
161,GAM0161,Gamme Douille REF-DOU-0256,256,4,114,2.0,ACTIVE
162,GAM0162,Gamme Palier REF-PAL-0191,191,4,119,2.0,ACTIVE
163,GAM0163,Gamme Rond REF-RON-0093,93,5,117,1.0,ACTIVE
164,GAM0164,Gamme Plaque REF-PLA-0139,139,6,174,2.0,ACTIVE
165,GAM0165,Gamme Palier REF-PAL-0101,101,3,94,1.0,ACTIVE
166,GAM0166,Gamme Flasque REF-FLA-0005,5,3,83,2.0,ACTIVE
167,GAM0167,Gamme Support REF-SUP-0265,265,5,104,2.0,ACTIVE
168,GAM0168,Gamme Plaque REF-PLA-0154,154,4,101,1.0,ACTIVE
169,GAM0169,Gamme Manivelle REF-MAN-0084,84,3,56,2.0,ACTIVE
170,GAM0170,Gamme Flasque REF-FLA-0050,50,4,94,2.0,ACTIVE
171,GAM0171,Gamme Flasque REF-FLA-0185,185,5,132,2.0,ACTIVE
172,GAM0172,Gamme Douille REF-DOU-0211,211,3,72,1.0,ACTIVE
173,GAM0173,Gamme Coussinet REF-COU-0276,276,3,84,2.0,ACTIVE
174,GAM0174,Gamme Engrenage REF-ENG-0262,262,4,134,2.0,ACTIVE
175,GAM0175,Gamme Douille REF-DOU-0196,196,5,131,2.0,ACTIVE
176,GAM0176,Gamme Arbre REF-ARB-0075,75,6,151,2.0,ACTIVE
177,GAM0177,Gamme Pignon REF-PIG-0293,293,4,134,1.0,ACTIVE
178,GAM0178,Gamme Palier REF-PAL-0176,176,4,137,2.0,ACTIVE
179,GAM0179,Gamme Bague REF-BAG-0137,137,5,162,2.0,ACTIVE
180,GAM0180,Gamme Rond REF-RON-0228,228,5,168,2.0,ACTIVE
181,GAM0181,Gamme Ressort REF-RES-0267,267,7,192,2.0,ACTIVE
182,GAM0182,Gamme Ressort REF-RES-0012,12,3,88,1.0,ACTIVE
183,GAM0183,Gamme Palier REF-PAL-0041,41,4,89,2.0,ACTIVE
184,GAM0184,Gamme Rond REF-RON-0033,33,6,148,2.0,ACTIVE
185,GAM0185,Gamme Ecrou REF-ECR-0014,14,5,136,1.0,ACTIVE
186,GAM0186,Gamme Flasque REF-FLA-0080,80,3,53,2.0,ACTIVE
187,GAM0187,Gamme Engrenage REF-ENG-0127,127,5,124,2.0,ACTIVE
188,GAM0188,Gamme Pignon REF-PIG-0068,68,5,161,1.0,OBSOLETE
189,GAM0189,Gamme Rond REF-RON-0183,183,6,147,2.0,ACTIVE
190,GAM0190,Gamme Arbre REF-ARB-0240,240,7,173,2.0,ACTIVE
191,GAM0191,Gamme Support REF-SUP-0070,70,7,204,1.0,ACTIVE
192,GAM0192,Gamme Manivelle REF-MAN-0234,234,5,110,2.0,ACTIVE
193,GAM0193,Gamme Plaque REF-PLA-0274,274,4,111,2.0,ACTIVE
194,GAM0194,Gamme Ressort REF-RES-0117,117,6,214,2.0,ACTIVE
195,GAM0195,Gamme Bague REF-BAG-0212,212,4,136,2.0,OBSOLETE
196,GAM0196,Gamme Clavette REF-CLA-0268,268,6,140,1.0,ACTIVE
197,GAM0197,Gamme Douille REF-DOU-0241,241,5,152,2.0,ACTIVE
198,GAM0198,Gamme Flasque REF-FLA-0245,245,4,118,2.0,ACTIVE
199,GAM0199,Gamme Ecrou REF-ECR-0119,119,5,131,2.0,ACTIVE
200,GAM0200,Gamme Rond REF-RON-0288,288,4,154,1.0,ACTIVE
201,GAM0201,Gamme Flasque REF-FLA-0200,200,6,193,1.0,ACTIVE
202,GAM0202,Gamme Engrenage REF-ENG-0217,217,5,122,2.0,ACTIVE
203,GAM0203,Gamme Rond REF-RON-0273,273,6,202,2.0,ACTIVE
204,GAM0204,Gamme Coussinet REF-COU-0036,36,3,83,2.0,ACTIVE
205,GAM0205,Gamme Manivelle REF-MAN-0234,234,5,190,2.0,ACTIVE
206,GAM0206,Gamme Ressort REF-RES-0252,252,3,38,1.0,ACTIVE
207,GAM0207,Gamme Plaque REF-PLA-0274,274,3,59,1.0,ACTIVE
208,GAM0208,Gamme Flasque REF-FLA-0065,65,5,163,1.0,ACTIVE
209,GAM0209,Gamme Rond REF-RON-0078,78,3,46,1.0,ACTIVE
210,GAM0210,Gamme Support REF-SUP-0160,160,5,124,2.0,ACTIVE
211,GAM0211,Gamme Clavette REF-CLA-0238,238,5,107,1.0,ACTIVE
212,GAM0212,Gamme Arbre REF-ARB-0075,75,3,45,2.0,ACTIVE
213,GAM0213,Gamme Douille REF-DOU-0241,241,3,39,2.0,ACTIVE
214,GAM0214,Gamme Engrenage REF-ENG-0007,7,3,90,1.0,ACTIVE
215,GAM0215,Gamme Bague REF-BAG-0227,227,4,135,1.0,ACTIVE
216,GAM0216,Gamme Plaque REF-PLA-0049,49,5,182,1.0,ACTIVE
217,GAM0217,Gamme Support REF-SUP-0160,160,6,204,1.0,ACTIVE
218,GAM0218,Gamme Engrenage REF-ENG-0022,22,5,181,1.0,ACTIVE
219,GAM0219,Gamme Rond REF-RON-0153,153,3,67,1.0,ACTIVE
220,GAM0220,Gamme Engrenage REF-ENG-0112,112,7,145,1.0,ACTIVE
221,GAM0221,Gamme Bague REF-BAG-0167,167,3,59,2.0,ACTIVE
222,GAM0222,Gamme Pignon REF-PIG-0203,203,5,97,1.0,ACTIVE
223,GAM0223,Gamme Clavette REF-CLA-0298,298,5,135,2.0,ACTIVE
224,GAM0224,Gamme Flasque REF-FLA-0080,80,4,107,1.0,ACTIVE
225,GAM0225,Gamme Douille REF-DOU-0256,256,3,63,2.0,ACTIVE
226,GAM0226,Gamme Douille REF-DOU-0031,31,3,67,1.0,ACTIVE
227,GAM0227,Gamme Support REF-SUP-0055,55,3,74,1.0,ACTIVE
228,GAM0228,Gamme Douille REF-DOU-0286,286,5,178,2.0,ACTIVE
229,GAM0229,Gamme Arbre REF-ARB-0225,225,5,142,1.0,ACTIVE
230,GAM0230,Gamme Plaque REF-PLA-0184,184,5,83,2.0,ACTIVE
231,GAM0231,Gamme Manivelle REF-MAN-0249,249,5,181,2.0,ACTIVE
232,GAM0232,Gamme Palier REF-PAL-0251,251,3,72,1.0,ACTIVE
233,GAM0233,Gamme Douille REF-DOU-0166,166,5,118,2.0,ACTIVE
234,GAM0234,Gamme Ecrou REF-ECR-0284,284,3,52,1.0,ACTIVE
235,GAM0235,Gamme Arbre REF-ARB-0135,135,5,118,2.0,OBSOLETE
236,GAM0236,Gamme Flasque REF-FLA-0260,260,4,118,1.0,ACTIVE
237,GAM0237,Gamme Engrenage REF-ENG-0187,187,5,122,1.0,ACTIVE
238,GAM0238,Gamme Rond REF-RON-0033,33,5,89,2.0,ACTIVE
239,GAM0239,Gamme Arbre REF-ARB-0255,255,5,96,1.0,ACTIVE
240,GAM0240,Gamme Douille REF-DOU-0166,166,4,120,2.0,ACTIVE
241,GAM0241,Gamme Clavette REF-CLA-0268,268,5,137,1.0,ACTIVE
242,GAM0242,Gamme Engrenage REF-ENG-0067,67,3,40,1.0,ACTIVE
243,GAM0243,Gamme Manivelle REF-MAN-0249,249,3,80,1.0,ACTIVE
244,GAM0244,Gamme Plaque REF-PLA-0199,199,5,156,2.0,OBSOLETE
245,GAM0245,Gamme Manivelle REF-MAN-0114,114,5,104,1.0,OBSOLETE
246,GAM0246,Gamme Bague REF-BAG-0107,107,5,194,1.0,ACTIVE
247,GAM0247,Gamme Bague REF-BAG-0032,32,4,71,2.0,ACTIVE
248,GAM0248,Gamme Arbre REF-ARB-0030,30,6,154,2.0,ACTIVE
249,GAM0249,Gamme Engrenage REF-ENG-0037,37,6,163,1.0,ACTIVE
250,GAM0250,Gamme Palier REF-PAL-0266,266,3,39,1.0,ACTIVE
251,GAM0251,Gamme Pignon REF-PIG-0098,98,3,86,1.0,ACTIVE
252,GAM0252,Gamme Bague REF-BAG-0092,92,5,185,2.0,ACTIVE
253,GAM0253,Gamme Palier REF-PAL-0296,296,4,73,2.0,ACTIVE
254,GAM0254,Gamme Manivelle REF-MAN-0219,219,6,178,1.0,ACTIVE
255,GAM0255,Gamme Ressort REF-RES-0282,282,4,123,2.0,ACTIVE
256,GAM0256,Gamme Plaque REF-PLA-0274,274,7,142,2.0,ACTIVE
257,GAM0257,Gamme Ressort REF-RES-0162,162,5,102,2.0,ACTIVE
258,GAM0258,Gamme Bague REF-BAG-0212,212,5,132,2.0,ACTIVE
259,GAM0259,Gamme Douille REF-DOU-0166,166,5,103,1.0,ACTIVE
260,GAM0260,Gamme Ressort REF-RES-0282,282,6,140,2.0,ACTIVE
261,GAM0261,Gamme Engrenage REF-ENG-0232,232,4,135,2.0,OBSOLETE
262,GAM0262,Gamme Rond REF-RON-0018,18,7,231,1.0,ACTIVE
263,GAM0263,Gamme Flasque REF-FLA-0155,155,3,37,1.0,ACTIVE
264,GAM0264,Gamme Ressort REF-RES-0162,162,3,57,2.0,ACTIVE
265,GAM0265,Gamme Engrenage REF-ENG-0262,262,5,117,1.0,ACTIVE
266,GAM0266,Gamme Palier REF-PAL-0236,236,4,104,1.0,ACTIVE
267,GAM0267,Gamme Ecrou REF-ECR-0299,299,4,110,2.0,ACTIVE
268,GAM0268,Gamme Rond REF-RON-0048,48,5,183,1.0,ACTIVE
269,GAM0269,Gamme Bague REF-BAG-0167,167,5,117,1.0,ACTIVE
270,GAM0270,Gamme Palier REF-PAL-0296,296,6,158,1.0,ACTIVE
271,GAM0271,Gamme Plaque REF-PLA-0154,154,3,63,2.0,ACTIVE
272,GAM0272,Gamme Ecrou REF-ECR-0029,29,6,156,2.0,ACTIVE
273,GAM0273,Gamme Clavette REF-CLA-0223,223,4,56,1.0,ACTIVE
274,GAM0274,Gamme Ressort REF-RES-0117,117,5,197,1.0,ACTIVE
275,GAM0275,Gamme Douille REF-DOU-0196,196,3,63,1.0,ACTIVE
276,GAM0276,Gamme Flasque REF-FLA-0290,290,3,100,1.0,ACTIVE
277,GAM0277,Gamme Engrenage REF-ENG-0202,202,7,173,1.0,ACTIVE
278,GAM0278,Gamme Ecrou REF-ECR-0149,149,5,133,1.0,ACTIVE
279,GAM0279,Gamme Clavette REF-CLA-0043,43,4,136,1.0,ACTIVE
280,GAM0280,Gamme Arbre REF-ARB-0135,135,3,67,2.0,ACTIVE
281,GAM0281,Gamme Engrenage REF-ENG-0067,67,5,129,2.0,ACTIVE
282,GAM0282,Gamme Support REF-SUP-0250,250,4,122,1.0,ACTIVE
283,GAM0283,Gamme Ecrou REF-ECR-0269,269,4,100,1.0,ACTIVE
284,GAM0284,Gamme Palier REF-PAL-0221,221,4,89,1.0,ACTIVE
285,GAM0285,Gamme Bague REF-BAG-0212,212,4,78,2.0,ACTIVE
286,GAM0286,Gamme Ressort REF-RES-0177,177,5,117,1.0,ACTIVE
287,GAM0287,Gamme Ressort REF-RES-0087,87,7,229,2.0,ACTIVE
288,GAM0288,Gamme Douille REF-DOU-0226,226,3,66,1.0,ACTIVE
289,GAM0289,Gamme Ressort REF-RES-0192,192,3,41,1.0,ACTIVE
290,GAM0290,Gamme Clavette REF-CLA-0028,28,4,125,1.0,ACTIVE
291,GAM0291,Gamme Clavette REF-CLA-0148,148,3,112,1.0,ACTIVE
292,GAM0292,Gamme Bague REF-BAG-0242,242,3,55,1.0,ACTIVE
293,GAM0293,Gamme Plaque REF-PLA-0109,109,4,118,2.0,ACTIVE
294,GAM0294,Gamme Clavette REF-CLA-0073,73,5,117,1.0,ACTIVE
295,GAM0295,Gamme Arbre REF-ARB-0270,270,3,47,1.0,ACTIVE
296,GAM0296,Gamme Clavette REF-CLA-0103,103,5,175,2.0,ACTIVE
297,GAM0297,Gamme Flasque REF-FLA-0005,5,3,53,2.0,ACTIVE
298,GAM0298,Gamme Flasque REF-FLA-0185,185,6,178,1.0,ACTIVE
299,GAM0299,Gamme Rond REF-RON-0198,198,4,84,2.0,ACTIVE
300,GAM0300,Gamme Coussinet REF-COU-0051,51,6,149,2.0,ACTIVE
301,GAM0301,Gamme Rond REF-RON-0273,273,3,90,1.0,ACTIVE
302,GAM0302,Gamme Support REF-SUP-0235,235,5,196,1.0,OBSOLETE
303,GAM0303,Gamme Bague REF-BAG-0272,272,4,132,2.0,ACTIVE
304,GAM0304,Gamme Coussinet REF-COU-0081,81,3,55,2.0,ACTIVE
305,GAM0305,Gamme Flasque REF-FLA-0155,155,4,147,2.0,ACTIVE
306,GAM0306,Gamme Ressort REF-RES-0132,132,6,201,1.0,ACTIVE
307,GAM0307,Gamme Manivelle REF-MAN-0144,144,4,93,2.0,ACTIVE
308,GAM0308,Gamme Palier REF-PAL-0071,71,3,45,2.0,ACTIVE
309,GAM0309,Gamme Ressort REF-RES-0117,117,4,100,1.0,ACTIVE
310,GAM0310,Gamme Support REF-SUP-0160,160,6,214,2.0,ACTIVE
311,GAM0311,Gamme Pignon REF-PIG-0068,68,4,105,1.0,ACTIVE
312,GAM0312,Gamme Ecrou REF-ECR-0104,104,6,162,2.0,ACTIVE
313,GAM0313,Gamme Ecrou REF-ECR-0269,269,6,180,2.0,ACTIVE
314,GAM0314,Gamme Arbre REF-ARB-0075,75,5,171,1.0,ACTIVE
315,GAM0315,Gamme Douille REF-DOU-0286,286,5,131,1.0,ACTIVE
316,GAM0316,Gamme Arbre REF-ARB-0075,75,5,165,2.0,ACTIVE
317,GAM0317,Gamme Bague REF-BAG-0212,212,7,213,2.0,ACTIVE
318,GAM0318,Gamme Coussinet REF-COU-0141,141,3,83,1.0,ACTIVE
319,GAM0319,Gamme Flasque REF-FLA-0095,95,3,99,2.0,ACTIVE
320,GAM0320,Gamme Ecrou REF-ECR-0119,119,5,169,1.0,ACTIVE
321,GAM0321,Gamme Plaque REF-PLA-0184,184,3,62,2.0,ACTIVE
322,GAM0322,Gamme Douille REF-DOU-0241,241,5,82,2.0,ACTIVE
323,GAM0323,Gamme Plaque REF-PLA-0199,199,4,123,1.0,ACTIVE
324,GAM0324,Gamme Palier REF-PAL-0116,116,3,83,1.0,ACTIVE
325,GAM0325,Gamme Bague REF-BAG-0212,212,4,88,1.0,ACTIVE
326,GAM0326,Gamme Plaque REF-PLA-0034,34,3,65,2.0,ACTIVE
