controle_id,execution_id,piece_id,cause_rebut_id,date_controle,resultat,nb_controles,nb_conformes,nb_non_conformes,dimension_mesuree,dimension_cible,tolerance_plus,tolerance_moins,rugosite_mesuree,commentaire
48,48,1,12,2026-04-11T18:16:00,NON_CONFORME,5,3,2,57.888,57.882,0.01,-0.01,3.196,
49,49,1,9,2026-04-08T12:10:00,NON_CONFORME,9,8,1,89.446,89.51,0.1,-0.1,3.995,
50,50,1,11,2026-04-08T10:36:00,NON_CONFORME,2,1,1,18.876,18.87,0.01,-0.01,5.665,
51,51,1,3,2026-04-11T14:47:00,NON_CONFORME,10,9,1,92.099,92.101,0.02,-0.02,3.639,
52,52,1,,2026-01-05T15:52:00,CONFORME,4,4,0,36.434,36.44,0.02,-0.02,0.537,
53,53,1,2,2026-01-02T12:52:00,NON_CONFORME,4,3,1,35.623,35.628,0.01,-0.01,2.773,
54,54,1,9,2026-01-05T16:26:00,NON_CONFORME,8,6,2,67.604,67.594,0.02,-0.02,2.771,
55,55,1,9,2026-01-05T13:02:00,NON_CONFORME,1,0,1,10.163,10.164,0.01,-0.01,4.16,
56,56,1,5,2025-11-05T18:28:00,NON_CONFORME,2,0,3,58.075,58.07,0.02,-0.02,1.661,
57,57,1,1,2025-11-05T12:04:00,NON_CONFORME,5,0,9,13.281,13.277,0.01,-0.01,2.809,
58,58,1,9,2025-11-02T13:36:00,NON_CONFORME,7,5,2,34.342,34.344,0.01,-0.01,5.914,
59,59,1,12,2026-09-15T16:06:00,NON_CONFORME,10,7,3,95.413,95.419,0.01,-0.01,3.974,
60,60,1,8,2026-09-14T16:57:00,NON_CONFORME,4,3,1,94.106,94.11,0.05,-0.05,4.175,
61,61,1,11,2026-09-13T11:36:00,NON_CONFORME,9,5,4,29.361,29.301,0.1,-0.1,0.853,
62,62,1,7,2026-09-11T15:03:00,NON_CONFORME,9,3,6,44.848,44.836,0.05,-0.05,5.654,
63,63,1,6,2026-09-13T15:42:00,NON_CONFORME,4,0,5,55.158,55.184,0.05,-0.05,2.931,
64,64,1,,2025-07-22T07:36:00,CONFORME,5,5,0,24.664,24.683,0.1,-0.1,1.061,
65,65,1,2,2025-07-22T13:43:00,NON_CONFORME,9,6,3,82.899,82.821,0.1,-0.1,4.279,
66,66,1,8,2025-07-20T18:22:00,NON_CONFORME,2,1,1,98.795,98.797,0.01,-0.01,3.587,
67,67,1,,2025-07-23T13:35:00,CONFORME,6,6,0,90.681,90.749,0.1,-0.1,4.968,
68,68,1,10,2026-09-15T09:02:00,NON_CONFORME,8,7,1,42.107,42.112,0.01,-0.01,3.557,
69,69,1,10,2026-09-11T08:58:00,NON_CONFORME,10,8,2,43.979,43.98,0.02,-0.02,5.412,
70,70,1,9,2026-09-14T12:04:00,NON_CONFORME,2,0,5,66.048,66.047,0.01,-0.01,2.435,
71,71,1,9,2026-09-11T16:11:00,NON_CONFORME,6,3,3,45.504,45.501,0.01,-0.01,5.096,
72,72,1,1,2026-09-12T18:35:00,NON_CONFORME,4,0,6,12.843,12.839,0.01,-0.01,3.364,
73,73,1,5,2026-09-11T16:21:00,NON_CONFORME,1,0,4,35.436,35.438,0.02,-0.02,2.878,
74,74,1,,2026-07-29T11:08:00,CONFORME,2,2,0,81.209,81.215,0.1,-0.1,4.438,
75,75,1,,2026-07-30T18:02:00,CONFORME,8,8,0,29.285,29.297,0.02,-0.02,0.437,
76,76,1,8,2026-07-30T16:47:00,NON_CONFORME,3,2,1,73.964,73.967,0.05,-0.05,1.931,
77,77,1,5,2026-07-29T10:24:00,NON_CONFORME,10,9,1,70.875,70.877,0.01,-0.01,3.812,
78,78,1,,2026-07-30T09:58:00,CONFORME,5,5,0,47.347,47.289,0.1,-0.1,6.239,
79,79,1,,2026-07-30T18:40:00,CONFORME,3,3,0,33.094,33.099,0.02,-0.02,5.678,
80,80,1,,2026-07-27T18:42:00,CONFORME,1,1,0,31.133,31.111,0.05,-0.05,1.927,
81,81,1,4,2026-03-28T08:02:00,NON_CONFORME,6,2,4,46.469,46.402,0.1,-0.1,5.562,
82,82,1,,2026-03-25T17:32:00,CONFORME,3,3,0,17.415,17.416,0.01,-0.01,3.119,
83,83,1,4,2026-03-27T16:03:00,NON_CONFORME,10,5,5,32.129,32.157,0.1,-0.1,2.849,
84,84,1,1,2026-03-27T14:53:00,NON_CONFORME,2,0,2,32.342,32.345,0.1,-0.1,2.426,
85,85,1,5,2026-03-27T10:18:00,NON_CONFORME,5,0,5,27.198,27.191,0.01,-0.01,3.995,
86,86,1,9,2026-02-25T08:30:00,NON_CONFORME,6,4,2,38.996,39.034,0.05,-0.05,3.263,
87,87,1,,2026-02-24T14:06:00,CONFORME,1,1,0,24.617,24.609,0.01,-0.01,6.206,
88,88,1,5,2026-02-28T14:36:00,NON_CONFORME,1,0,2,32.52,32.457,0.1,-0.1,2.975,
89,89,1,12,2026-02-25T14:10:00,NON_CONFORME,5,4,1,10.128,10.12,0.05,-0.05,0.472,
90,90,1,4,2026-02-24T13:12:00,NON_CONFORME,2,0,2,26.873,26.946,0.1,-0.1,4.504,
91,91,1,8,2026-02-27T19:24:00,NON_CONFORME,4,3,1,28.799,28.792,0.01,-0.01,3.519,
92,92,1,,2026-06-10T17:16:00,CONFORME,9,9,0,50.476,50.469,0.01,-0.01,4.92,
93,93,1,,2026-06-11T18:18:00,CONFORME,3,3,0,39.82,39.818,0.05,-0.05,3.118,
94,94,1,6,2026-06-14T19:06:00,NON_CONFORME,3,0,5,47.039,47.037,0.01,-0.01,1.546,
95,95,1,11,2026-06-13T11:14:00,NON_CONFORME,3,0,7,57.105,57.116,0.02,-0.02,5.221,
96,96,1,12,2026-05-09T15:45:00,NON_CONFORME,8,4,4,11.619,11.575,0.1,-0.1,0.688,
97,97,1,12,2026-05-10T13:47:00,NON_CONFORME,9,3,6,57.584,57.647,0.1,-0.1,2.487,
98,98,1,9,2026-05-10T19:31:00,NON_CONFORME,5,4,1,20.753,20.739,0.02,-0.02,0.599,
99,99,1,9,2026-05-08T17:37:00,NON_CONFORME,6,2,4,93.836,93.836,0.01,-0.01,6.208,
100,100,1,10,2026-05-09T19:26:00,NON_CONFORME,8,4,4,43.272,43.272,0.01,-0.01,4.51,
101,101,1,5,2026-05-07T18:07:00,NON_CONFORME,6,3,3,30.238,30.229,0.02,-0.02,1.733,
102,102,1,10,2025-06-24T07:08:00,NON_CONFORME,2,0,3,45.165,45.184,0.05,-0.05,5.175,
103,103,1,8,2025-06-24T13:35:00,NON_CONFORME,7,5,2,14.835,14.796,0.1,-0.1,2.806,
104,104,1,5,2025-06-22T08:31:00,NON_CONFORME,6,4,2,78.307,78.35,0.1,-0.1,4.349,
105,105,1,11,2025-06-19T13:59:00,NON_CONFORME,6,3,3,81.022,80.973,0.1,-0.1,1.778,
106,106,1,,2025-06-19T07:28:00,CONFORME,9,9,0,46.992,47.022,0.05,-0.05,1.784,
107,107,1,7,2026-09-16T12:39:00,NON_CONFORME,10,5,5,20.824,20.828,0.01,-0.01,3.31,
108,108,1,10,2026-09-18T11:45:00,NON_CONFORME,1,0,4,57.9,57.838,0.1,-0.1,3.194,
109,109,1,4,2026-09-17T07:31:00,NON_CONFORME,9,5,4,23.906,23.913,0.01,-0.01,2.6,
110,110,1,9,2026-09-19T18:54:00,NON_CONFORME,4,0,4,41.24,41.249,0.02,-0.02,1.704,
111,111,1,7,2026-09-17T16:02:00,NON_CONFORME,1,0,5,16.521,16.503,0.05,-0.05,0.851,
112,112,1,,2026-09-21T18:19:00,CONFORME,6,6,0,66.883,66.884,0.01,-0.01,1.723,
113,113,1,,2026-09-19T12:33:00,CONFORME,4,4,0,10.407,10.386,0.1,-0.1,1.94,
114,114,1,,2026-09-19T17:07:00,CONFORME,2,2,0,18.899,18.859,0.05,-0.05,3.526,
115,115,1,,2026-09-22T18:14:00,CONFORME,7,7,0,73.248,73.234,0.05,-0.05,5.757,
116,116,1,,2026-09-19T17:59:00,CONFORME,8,8,0,61.44,61.437,0.05,-0.05,4.752,
117,117,1,,2026-09-17T11:19:00,CONFORME,3,3,0,82.89,82.878,0.02,-0.02,5.874,
118,118,1,12,2026-09-17T12:15:00,NON_CONFORME,8,7,1,44.397,44.395,0.01,-0.01,4.044,
119,119,1,10,2026-12-09T16:09:00,NON_CONFORME,4,0,8,84.574,84.587,0.02,-0.02,5.381,
120,120,1,2,2026-12-09T08:02:00,NON_CONFORME,2,0,6,68.632,68.619,0.02,-0.02,3.014,
121,121,1,9,2026-12-04T09:07:00,NON_CONFORME,2,0,10,76.532,76.528,0.01,-0.01,3.154,
122,122,1,12,2026-12-08T08:18:00,NON_CONFORME,9,1,8,23.476,23.452,0.05,-0.05,2.021,
123,123,1,5,2025-10-27T14:24:00,NON_CONFORME,9,5,4,12.309,12.305,0.01,-0.01,2.245,
124,124,1,2,2025-10-26T13:26:00,NON_CONFORME,5,2,3,48.505,48.505,0.01,-0.01,5.516,
125,125,1,11,2025-10-25T07:15:00,NON_CONFORME,6,2,4,89.92,89.916,0.02,-0.02,5.607,
126,126,1,4,2026-11-24T06:44:00,NON_CONFORME,6,0,9,20.743,20.748,0.05,-0.05,3.547,
127,127,1,5,2026-11-21T12:38:00,NON_CONFORME,7,2,5,35.24,35.227,0.1,-0.1,5.493,
128,128,1,2,2026-11-22T11:51:00,NON_CONFORME,2,0,6,82.209,82.21,0.01,-0.01,2.6,
129,129,1,6,2026-11-22T17:47:00,NON_CONFORME,3,2,1,46.905,46.938,0.05,-0.05,3.412,
130,130,1,,2026-11-21T18:24:00,CONFORME,6,6,0,52.631,52.622,0.02,-0.02,1.301,
131,131,1,12,2026-10-20T14:53:00,NON_CONFORME,5,3,2,39.315,39.299,0.02,-0.02,4.027,
132,132,1,7,2026-10-20T12:54:00,NON_CONFORME,5,2,3,57.437,57.445,0.05,-0.05,4.779,
133,133,1,12,2026-10-19T15:47:00,NON_CONFORME,3,1,2,84.856,84.835,0.1,-0.1,5.744,
134,134,1,4,2026-10-17T11:24:00,NON_CONFORME,10,6,4,75.823,75.753,0.1,-0.1,0.561,
135,135,1,7,2025-03-21T13:40:00,NON_CONFORME,8,7,1,58.139,58.147,0.02,-0.02,2.99,
136,136,1,10,2025-03-21T15:40:00,NON_CONFORME,8,6,2,28.958,28.958,0.01,-0.01,4.232,
137,137,1,12,2025-03-22T16:30:00,NON_CONFORME,3,0,3,40.682,40.69,0.01,-0.01,3.61,
138,138,1,4,2026-09-24T07:53:00,NON_CONFORME,7,0,11,45.89,45.884,0.02,-0.02,5.978,
139,139,1,8,2026-09-24T06:36:00,NON_CONFORME,1,0,8,14.966,14.944,0.05,-0.05,3.605,
140,140,1,3,2026-09-22T16:41:00,NON_CONFORME,4,0,4,70.039,70.043,0.05,-0.05,3.629,
141,141,1,6,2025-08-05T15:11:00,NON_CONFORME,7,4,3,52.867,52.87,0.01,-0.01,3.184,
142,142,1,3,2025-08-03T17:08:00,NON_CONFORME,1,0,11,24.364,24.386,0.1,-0.1,4.336,
143,143,1,2,2025-08-08T19:18:00,NON_CONFORME,9,0,12,33.003,33.014,0.02,-0.02,1.46,
144,144,1,8,2026-07-05T14:31:00,NON_CONFORME,8,7,1,33.386,33.389,0.05,-0.05,1.429,
145,145,1,6,2026-07-08T08:02:00,NON_CONFORME,10,9,1,19.791,19.806,0.05,-0.05,3.365,
146,146,1,,2026-07-07T11:45:00,CONFORME,1,1,0,69.62,69.623,0.01,-0.01,3.284,
147,147,1,10,2026-07-04T16:47:00,NON_CONFORME,5,1,4,26.735,26.731,0.01,-0.01,4.125,
148,148,1,7,2025-01-14T10:39:00,NON_CONFORME,2,1,1,49.512,49.514,0.02,-0.02,4.35,
149,149,1,6,2025-01-15T09:24:00,NON_CONFORME,3,0,7,20.276,20.281,0.01,-0.01,1.83,
150,150,1,8,2025-01-12T15:52:00,NON_CONFORME,6,4,2,76.814,76.882,0.1,-0.1,6.099,
151,151,1,,2026-04-30T16:17:00,CONFORME,2,2,0,11.8,11.798,0.01,-0.01,1.252,
152,152,1,9,2026-04-25T07:26:00,NON_CONFORME,4,1,3,48.193,48.215,0.05,-0.05,5.685,
153,153,1,,2026-04-28T11:01:00,CONFORME,1,1,0,43.008,43.013,0.01,-0.01,3.164,
154,154,1,8,2026-04-26T06:50:00,NON_CONFORME,6,5,1,92.688,92.686,0.01,-0.01,1.533,
155,155,1,3,2026-04-26T09:36:00,NON_CONFORME,4,2,2,39.168,39.188,0.1,-0.1,3.037,
156,156,1,,2026-04-30T07:53:00,CONFORME,5,5,0,19.274,19.26,0.02,-0.02,1.577,
157,157,1,,2026-01-23T18:19:00,CONFORME,2,2,0,90.903,90.907,0.01,-0.01,0.419,
158,158,1,,2026-01-20T17:08:00,CONFORME,5,5,0,77.568,77.576,0.1,-0.1,5.241,
159,159,1,4,2026-01-21T06:39:00,NON_CONFORME,10,9,1,68.568,68.575,0.01,-0.01,3.124,
160,160,1,,2026-01-25T17:57:00,CONFORME,8,8,0,39.049,39.05,0.02,-0.02,2.691,
161,161,1,,2026-01-21T07:19:00,CONFORME,7,7,0,68.625,68.698,0.1,-0.1,0.982,
162,162,1,,2026-01-21T16:36:00,CONFORME,2,2,0,10.141,10.145,0.01,-0.01,5.999,
163,163,1,,2026-11-21T09:15:00,CONFORME,5,5,0,38.231,38.217,0.1,-0.1,3.067,
164,164,1,,2026-11-17T17:07:00,CONFORME,7,7,0,43.108,43.096,0.02,-0.02,1.075,
165,165,1,,2026-11-18T16:57:00,CONFORME,9,9,0,55.235,55.265,0.05,-0.05,5.525,
166,166,1,,2026-11-18T09:12:00,CONFORME,2,2,0,66.443,66.44,0.01,-0.01,1.41,
167,167,1,,2026-11-22T12:04:00,CONFORME,3,3,0,35.554,35.557,0.05,-0.05,5.411,
168,168,1,4,2026-08-26T08:23:00,NON_CONFORME,5,4,1,36.244,36.23,0.02,-0.02,1.846,
169,169,1,10,2026-08-24T08:54:00,NON_CONFORME,8,7,1,52.744,52.743,0.01,-0.01,3.857,
170,170,1,5,2026-08-23T14:38:00,NON_CONFORME,5,3,2,61.979,62.001,0.05,-0.05,1.706,
171,171,1,,2026-08-26T16:24:00,CONFORME,3,3,0,86.621,86.629,0.01,-0.01,4.597,
172,172,1,3,2026-08-27T13:10:00,NON_CONFORME,2,1,1,12.861,12.83,0.05,-0.05,2.678,
173,173,1,,2025-05-24T12:46:00,CONFORME,2,2,0,10.708,10.733,0.1,-0.1,0.525,
174,174,1,3,2025-05-20T17:49:00,NON_CONFORME,8,7,1,36.344,36.339,0.02,-0.02,4.513,
175,175,1,7,2025-05-23T14:41:00,NON_CONFORME,8,7,1,88.677,88.676,0.05,-0.05,1.904,
176,176,1,,2025-05-21T07:20:00,CONFORME,9,9,0,45.021,45.021,0.01,-0.01,0.595,
177,177,1,2,2025-05-25T09:11:00,NON_CONFORME,8,7,1,90.129,90.141,0.02,-0.02,5.33,
178,178,1,8,2025-05-20T08:38:00,NON_CONFORME,8,7,1,50.507,50.465,0.1,-0.1,5.039,
179,179,1,,2026-07-05T09:42:00,CONFORME,1,1,0,47.197,47.187,0.02,-0.02,5.18,
180,180,1,,2026-07-06T10:48:00,CONFORME,7,7,0,73.065,73.04,0.05,-0.05,4.845,
181,181,1,12,2026-07-02T18:41:00,NON_CONFORME,8,7,1,22.471,22.458,0.05,-0.05,4.813,
182,182,1,4,2026-07-03T15:46:00,NON_CONFORME,8,7,1,48.372,48.358,0.02,-0.02,1.316,
183,183,1,12,2026-07-02T10:41:00,NON_CONFORME,8,7,1,60.477,60.536,0.1,-0.1,4.05,
184,184,1,,2026-07-07T18:18:00,CONFORME,9,9,0,28.955,28.986,0.1,-0.1,1.516,
185,185,1,6,2025-11-07T11:20:00,NON_CONFORME,7,6,1,63.752,63.747,0.01,-0.01,3.45,
186,186,1,,2025-11-11T10:35:00,CONFORME,3,3,0,82.539,82.461,0.1,-0.1,0.683,
187,187,1,9,2025-11-08T10:48:00,NON_CONFORME,9,8,1,24.371,24.37,0.02,-0.02,1.862,
188,188,1,,2025-11-06T13:12:00,CONFORME,9,9,0,97.225,97.209,0.1,-0.1,3.021,
189,189,1,,2025-11-10T18:13:00,CONFORME,7,7,0,35.457,35.454,0.02,-0.02,4.428,
190,190,1,6,2025-03-29T14:01:00,NON_CONFORME,8,6,2,26.952,26.968,0.05,-0.05,4.285,
191,191,1,3,2025-03-27T08:22:00,NON_CONFORME,5,0,5,95.182,95.19,0.01,-0.01,0.952,
192,192,1,11,2025-03-27T15:19:00,NON_CONFORME,3,0,4,15.191,15.227,0.05,-0.05,5.866,
193,193,1,4,2025-03-26T11:25:00,NON_CONFORME,7,3,4,98.013,98.018,0.02,-0.02,1.629,
194,194,1,5,2025-03-07T06:50:00,NON_CONFORME,2,0,5,18.504,18.498,0.1,-0.1,2.951,
195,195,1,11,2025-03-06T08:22:00,NON_CONFORME,5,1,4,87.216,87.225,0.02,-0.02,1.923,
196,196,1,10,2025-03-05T09:42:00,NON_CONFORME,10,7,3,65.4,65.39,0.02,-0.02,3.227,
197,197,1,11,2025-03-05T08:02:00,NON_CONFORME,9,4,5,88.439,88.407,0.05,-0.05,4.908,
198,198,1,10,2025-03-07T09:31:00,NON_CONFORME,3,0,4,38.939,38.932,0.01,-0.01,2.97,
199,199,1,8,2026-05-16T11:13:00,NON_CONFORME,3,1,2,47.665,47.702,0.05,-0.05,1.245,
200,200,1,12,2026-05-19T11:28:00,NON_CONFORME,10,7,3,59.92,59.852,0.1,-0.1,2.305,
201,201,1,3,2026-05-20T12:46:00,NON_CONFORME,1,0,4,21.634,21.694,0.1,-0.1,2.148,
202,202,1,,2026-05-19T15:41:00,CONFORME,5,5,0,54.611,54.569,0.1,-0.1,4.256,
203,203,1,1,2026-05-17T17:49:00,NON_CONFORME,10,7,3,73.269,73.295,0.05,-0.05,1.975,
204,204,1,3,2026-05-19T16:32:00,NON_CONFORME,10,8,2,51.928,51.942,0.02,-0.02,5.279,
205,205,1,10,2025-11-01T12:27:00,NON_CONFORME,8,7,1,18.898,18.907,0.02,-0.02,1.305,
206,206,1,2,2025-10-28T15:15:00,NON_CONFORME,2,1,1,63.372,63.404,0.1,-0.1,1.638,
207,207,1,5,2025-10-29T09:49:00,NON_CONFORME,10,8,2,11.588,11.603,0.05,-0.05,2.752,
208,208,1,8,2025-11-02T16:07:00,NON_CONFORME,7,5,2,76.27,76.284,0.02,-0.02,1.256,
209,209,1,11,2025-10-28T08:47:00,NON_CONFORME,3,2,1,60.297,60.304,0.01,-0.01,3.83,
210,210,1,,2025-10-31T08:23:00,CONFORME,6,6,0,49.247,49.261,0.02,-0.02,2.356,
211,211,1,1,2026-12-03T09:54:00,NON_CONFORME,8,0,8,73.29,73.351,0.1,-0.1,0.835,
212,212,1,2,2026-12-04T09:56:00,NON_CONFORME,2,0,2,37.494,37.486,0.01,-0.01,5.814,
213,213,1,4,2026-12-02T18:26:00,NON_CONFORME,8,0,9,12.06,12.089,0.05,-0.05,6.142,
214,214,1,8,2026-12-01T08:59:00,NON_CONFORME,7,3,4,35.429,35.425,0.05,-0.05,1.732,
215,215,1,1,2026-10-18T13:43:00,NON_CONFORME,9,7,2,40.078,40.063,0.02,-0.02,3.205,
216,216,1,8,2026-10-19T18:04:00,NON_CONFORME,7,6,1,90.876,90.881,0.01,-0.01,5.79,
217,217,1,,2026-10-20T17:34:00,CONFORME,4,4,0,49.241,49.229,0.1,-0.1,4.867,
218,218,1,6,2026-10-21T09:02:00,NON_CONFORME,10,9,1,23.355,23.37,0.05,-0.05,5.828,
219,219,1,4,2026-10-18T06:15:00,NON_CONFORME,10,6,4,62.052,62.005,0.1,-0.1,4.019,
220,220,1,9,2026-10-18T13:00:00,NON_CONFORME,8,4,4,70.208,70.218,0.02,-0.02,2.316,
221,221,1,5,2026-04-11T19:22:00,NON_CONFORME,10,8,2,24.678,24.752,0.1,-0.1,4.739,
222,222,1,10,2026-04-13T08:39:00,NON_CONFORME,8,6,2,29.618,29.633,0.02,-0.02,4.185,
223,223,1,9,2026-04-13T08:22:00,NON_CONFORME,3,2,1,58.769,58.761,0.02,-0.02,1.4,
224,224,1,11,2025-02-19T09:32:00,NON_CONFORME,4,3,1,54.726,54.716,0.1,-0.1,3.484,
225,225,1,8,2025-02-22T16:04:00,NON_CONFORME,10,5,5,96.817,96.788,0.1,-0.1,4.6,
226,226,1,10,2025-02-22T11:36:00,NON_CONFORME,10,5,5,30.52,30.54,0.05,-0.05,5.349,
227,227,1,1,2025-02-19T07:26:00,NON_CONFORME,4,0,4,76.441,76.436,0.02,-0.02,0.63,
228,228,1,1,2025-02-23T09:20:00,NON_CONFORME,2,0,5,90.314,90.285,0.1,-0.1,5.833,
229,229,1,,2025-10-15T11:28:00,CONFORME,3,3,0,56.903,56.901,0.02,-0.02,1.587,
230,230,1,5,2025-10-20T17:30:00,NON_CONFORME,7,4,3,48.899,48.903,0.05,-0.05,3.025,
231,231,1,2,2025-10-19T12:08:00,NON_CONFORME,4,0,10,70.196,70.173,0.1,-0.1,0.701,
232,232,1,8,2025-10-17T11:20:00,NON_CONFORME,1,0,1,90.619,90.608,0.02,-0.02,2.96,
233,233,1,12,2025-09-03T13:24:00,NON_CONFORME,9,8,1,64.22,64.218,0.01,-0.01,4.556,
234,234,1,11,2025-09-07T11:02:00,NON_CONFORME,2,1,1,33.992,33.988,0.01,-0.01,2.044,
235,235,1,4,2025-09-03T11:30:00,NON_CONFORME,5,0,6,39.052,39.009,0.1,-0.1,4.926,
236,236,1,4,2025-09-04T11:30:00,NON_CONFORME,1,0,2,46.048,46.042,0.05,-0.05,1.618,
237,237,1,3,2025-09-02T17:23:00,NON_CONFORME,10,7,3,58.392,58.4,0.02,-0.02,0.753,
238,238,1,11,2025-09-06T07:06:00,NON_CONFORME,10,5,5,86.187,86.189,0.01,-0.01,2.039,
239,239,1,6,2025-07-27T07:04:00,NON_CONFORME,6,5,1,90.533,90.53,0.01,-0.01,4.632,
240,240,1,,2025-07-28T10:10:00,CONFORME,3,3,0,84.498,84.505,0.01,-0.01,5.254,
241,241,1,12,2025-07-26T10:22:00,NON_CONFORME,4,2,2,16.951,16.943,0.05,-0.05,4.712,
242,242,1,11,2025-07-28T12:51:00,NON_CONFORME,1,0,2,90.967,90.902,0.1,-0.1,4.66,
