phase_gamme_id,gamme_id,numero_phase,designation,machine_id,outil_id,programme_id,temps_usinage_prevu,temps_reglage_prevu,exigence_technique
123,28,6,Phase 6 - Ébavurage,1,33,188,8,5,Pas d'arêtes vives
124,29,1,Phase 1 - Réglement / Montage,9,88,195,3,18,Perpendicularité 0.02mm
125,29,2,Phase 2 - Rectification,4,90,29,29,6,Cylindricité 0.005mm
126,29,3,Phase 3 - Tournage,5,22,353,14,7,Surface Ra 1.6µm
127,29,4,Phase 4 - Ébavurage,1,138,167,3,4,
128,30,1,Phase 1 - Réglement / Montage,6,132,216,6,5,
129,30,2,Phase 2 - Fraisage,9,97,293,34,8,Surface Ra 3.2µm
130,30,3,Phase 3 - Contrôle qualité,2,53,173,20,6,Contrôle dimensionnel
131,31,1,Phase 1 - Débit / Tronçonnage,10,94,224,6,5,Cote brute ±0.5mm
132,31,2,Phase 2 - Perçage,4,74,136,6,6,Taraudage M6
133,31,3,Phase 3 - Perçage,3,149,49,23,7,Alésage H7
134,31,4,Phase 4 - Tournage,10,122,219,23,8,Surface Ra 1.6µm
135,31,5,Phase 5 - Fraisage,9,130,154,37,13,Planéité 0.02mm
136,31,6,Phase 6 - Tournage,7,65,320,42,10,Cylindricité 0.02mm
137,31,7,Phase 7 - Contrôle qualité,9,133,96,20,3,
138,32,1,Phase 1 - Débit / Tronçonnage,11,112,290,14,7,Cote brute ±0.5mm
139,32,2,Phase 2 - Fraisage,9,119,76,25,5,Planéité 0.02mm
140,32,3,Phase 3 - Perçage,11,82,33,25,5,Taraudage M6
141,32,4,Phase 4 - Ébavurage,10,42,132,12,2,Rayon R0.2 max
142,33,1,Phase 1 - Débit / Tronçonnage,5,50,15,6,8,Planarite 0.3mm
143,33,2,Phase 2 - Fraisage,9,109,332,12,6,Parallélisme 0.03mm
144,33,3,Phase 3 - Tournage,1,67,143,52,11,Cylindricité 0.02mm
145,33,4,Phase 4 - Fraisage,6,125,11,13,4,Planéité 0.02mm
146,33,5,Phase 5 - Fraisage,6,105,187,15,9,Parallélisme 0.03mm
147,33,6,Phase 6 - Ébavurage,6,129,62,11,5,
148,34,1,Phase 1 - Débit / Tronçonnage,2,61,308,4,8,Planarite 0.3mm
149,34,2,Phase 2 - Tournage,10,100,384,57,6,Diamètre ±0.01mm
150,34,3,Phase 3 - Tournage,1,45,110,27,10,Diamètre ±0.01mm
151,34,4,Phase 4 - Ébavurage,6,15,252,11,3,
152,35,1,Phase 1 - Réglement / Montage,3,140,217,9,12,Perpendicularité 0.02mm
153,35,2,Phase 2 - Perçage,4,93,244,16,6,Diamètre ±0.02mm
154,35,3,Phase 3 - Fraisage,6,14,354,25,7,Profondeur ±0.05mm
155,35,4,Phase 4 - Ébavurage,3,32,274,6,4,Rayon R0.2 max
156,36,1,Phase 1 - Débit / Tronçonnage,4,66,155,4,8,Longueur ±1mm
157,36,2,Phase 2 - Tournage,2,113,324,30,15,Diamètre ±0.01mm
158,36,3,Phase 3 - Perçage,8,21,400,20,9,Taraudage M6
159,36,4,Phase 4 - Rectification,3,109,52,13,7,Surface Ra 0.8µm
160,36,5,Phase 5 - Fraisage,9,117,356,11,15,Surface Ra 3.2µm
161,36,6,Phase 6 - Fraisage,6,114,329,18,3,Profondeur ±0.05mm
162,36,7,Phase 7 - Ébavurage,10,81,295,4,1,Pas d'arêtes vives
163,37,1,Phase 1 - Débit / Tronçonnage,5,106,164,10,5,Longueur ±1mm
164,37,2,Phase 2 - Tournage,10,84,145,22,4,Diamètre ±0.01mm
165,37,3,Phase 3 - Fraisage,9,97,293,24,3,Surface Ra 3.2µm
166,37,4,Phase 4 - Rectification,9,59,46,22,6,Parallélisme 0.01mm
167,37,5,Phase 5 - Contrôle qualité,5,13,206,18,6,Contrôle dimensionnel
168,38,1,Phase 1 - Débit / Tronçonnage,3,44,291,4,2,
169,38,2,Phase 2 - Perçage,11,127,61,12,5,Perpendicularité 0.05mm
170,38,3,Phase 3 - Rectification,10,74,383,23,9,Cylindricité 0.005mm
171,38,4,Phase 4 - Fraisage,6,56,145,22,9,Parallélisme 0.03mm
172,38,5,Phase 5 - Fraisage,6,8,149,26,6,Profondeur ±0.05mm
173,38,6,Phase 6 - Contrôle qualité,3,150,351,19,2,PDT 100%
174,39,1,Phase 1 - Débit / Tronçonnage,3,102,352,6,7,
175,39,2,Phase 2 - Perçage,8,19,49,22,2,Diamètre ±0.02mm
176,39,3,Phase 3 - Tournage,2,121,182,48,13,Surface Ra 1.6µm
177,39,4,Phase 4 - Tournage,10,98,155,35,13,Concentricité 0.01mm
178,39,5,Phase 5 - Ébavurage,11,11,298,5,3,Pas d'arêtes vives
179,40,1,Phase 1 - Réglement / Montage,3,120,68,3,15,
180,40,2,Phase 2 - Tournage,1,81,23,18,10,Concentricité 0.01mm
181,40,3,Phase 3 - Contrôle qualité,4,73,135,13,6,Contrôle dimensionnel
182,41,1,Phase 1 - Débit / Tronçonnage,5,81,378,10,8,Longueur ±1mm
183,41,2,Phase 2 - Fraisage,9,14,97,19,3,Parallélisme 0.03mm
184,41,3,Phase 3 - Ébavurage,8,67,84,10,4,Pas d'arêtes vives
185,42,1,Phase 1 - Réglement / Montage,8,11,227,7,20,
186,42,2,Phase 2 - Fraisage,6,32,179,15,6,Planéité 0.02mm
187,42,3,Phase 3 - Tournage,2,131,140,46,13,Cylindricité 0.02mm
188,42,4,Phase 4 - Fraisage,6,135,393,46,5,Profondeur ±0.05mm
189,42,5,Phase 5 - Rectification,7,128,347,11,8,Surface Ra 0.8µm
190,42,6,Phase 6 - Ébavurage,9,32,202,8,5,Pas d'arêtes vives
191,43,1,Phase 1 - Réglement / Montage,5,8,42,9,20,
192,43,2,Phase 2 - Fraisage,9,2,169,12,13,Profondeur ±0.05mm
193,43,3,Phase 3 - Tournage,10,34,109,13,15,Concentricité 0.01mm
194,43,4,Phase 4 - Tournage,1,19,281,48,9,Surface Ra 1.6µm
195,43,5,Phase 5 - Ébavurage,5,62,395,9,1,Pas d'arêtes vives
196,44,1,Phase 1 - Réglement / Montage,5,100,400,8,14,Parallélisme 0.01mm
197,44,2,Phase 2 - Tournage,7,111,377,29,13,Cylindricité 0.02mm
198,44,3,Phase 3 - Fraisage,6,95,263,22,10,Profondeur ±0.05mm
199,44,4,Phase 4 - Perçage,11,69,289,24,8,Diamètre ±0.02mm
200,44,5,Phase 5 - Contrôle qualité,3,48,223,18,2,PDT 100%
201,45,1,Phase 1 - Réglement / Montage,8,58,332,4,20,Centrage ±0.02mm
202,45,2,Phase 2 - Tournage,7,21,245,29,5,Cylindricité 0.02mm
203,45,3,Phase 3 - Perçage,8,64,268,18,6,Diamètre ±0.02mm
204,45,4,Phase 4 - Fraisage,6,132,56,42,9,Profondeur ±0.05mm
205,45,5,Phase 5 - Ébavurage,9,146,130,8,3,
206,46,1,Phase 1 - Débit / Tronçonnage,11,5,59,14,7,
207,46,2,Phase 2 - Tournage,2,101,24,15,9,Concentricité 0.01mm
208,46,3,Phase 3 - Tournage,7,116,320,26,8,Cylindricité 0.02mm
209,46,4,Phase 4 - Ébavurage,2,67,345,4,4,
210,47,1,Phase 1 - Débit / Tronçonnage,4,30,7,5,7,
211,47,2,Phase 2 - Fraisage,9,125,156,49,12,Planéité 0.02mm
212,47,3,Phase 3 - Perçage,11,78,45,9,4,Diamètre ±0.02mm
213,47,4,Phase 4 - Tournage,1,49,14,23,10,Cylindricité 0.02mm
214,47,5,Phase 5 - Contrôle qualité,4,138,98,7,4,
215,48,1,Phase 1 - Débit / Tronçonnage,4,6,60,5,3,
216,48,2,Phase 2 - Rectification,8,6,231,26,6,Cylindricité 0.005mm
217,48,3,Phase 3 - Tournage,7,14,171,10,4,Diamètre ±0.01mm
218,48,4,Phase 4 - Contrôle qualité,8,149,306,14,2,
219,49,1,Phase 1 - Débit / Tronçonnage,11,125,119,14,2,Cote brute ±0.5mm
220,49,2,Phase 2 - Fraisage,9,142,33,27,13,Profondeur ±0.05mm
221,49,3,Phase 3 - Rectification,2,127,319,28,8,
222,49,4,Phase 4 - Contrôle qualité,1,42,148,11,5,Contrôle dimensionnel
223,50,1,Phase 1 - Débit / Tronçonnage,11,57,301,13,4,
224,50,2,Phase 2 - Tournage,5,100,214,53,13,Concentricité 0.01mm
225,50,3,Phase 3 - Perçage,4,54,145,7,9,Perpendicularité 0.05mm
226,50,4,Phase 4 - Ébavurage,5,126,52,9,4,Rayon R0.2 max
227,51,1,Phase 1 - Débit / Tronçonnage,11,13,10,8,4,Planarite 0.3mm
228,51,2,Phase 2 - Perçage,4,129,17,7,7,Taraudage M6
229,51,3,Phase 3 - Tournage,2,31,288,24,10,Concentricité 0.01mm
230,51,4,Phase 4 - Rectification,3,12,395,25,7,Cylindricité 0.005mm
231,51,5,Phase 5 - Perçage,3,13,225,19,3,Diamètre ±0.02mm
232,51,6,Phase 6 - Perçage,3,144,22,21,3,Perpendicularité 0.05mm
233,51,7,Phase 7 - Contrôle qualité,7,93,81,14,7,
234,52,1,Phase 1 - Réglement / Montage,8,26,79,7,15,Parallélisme 0.01mm
235,52,2,Phase 2 - Tournage,2,113,213,59,15,Surface Ra 1.6µm
236,52,3,Phase 3 - Ébavurage,8,88,147,11,2,Pas d'arêtes vives
237,53,1,Phase 1 - Débit / Tronçonnage,4,93,323,13,3,Longueur ±1mm
238,53,2,Phase 2 - Perçage,11,59,71,18,8,Taraudage M6
239,53,3,Phase 3 - Rectification,11,93,16,22,5,Surface Ra 0.8µm
240,53,4,Phase 4 - Perçage,3,22,174,15,8,Perpendicularité 0.05mm
241,53,5,Phase 5 - Ébavurage,4,10,339,5,5,Pas d'arêtes vives
242,54,1,Phase 1 - Réglement / Montage,9,134,152,8,17,Perpendicularité 0.02mm
243,54,2,Phase 2 - Perçage,8,89,5,13,10,Perpendicularité 0.05mm
244,54,3,Phase 3 - Perçage,11,53,279,24,9,Alésage H7
245,54,4,Phase 4 - Contrôle qualité,9,104,398,11,4,PDT 100%
246,55,1,Phase 1 - Débit / Tronçonnage,3,100,372,14,7,Longueur ±1mm
247,55,2,Phase 2 - Fraisage,9,55,48,42,11,Planéité 0.02mm
248,55,3,Phase 3 - Fraisage,6,6,15,44,12,Planéité 0.02mm
249,55,4,Phase 4 - Tournage,5,109,259,17,14,Surface Ra 1.6µm
250,55,5,Phase 5 - Contrôle qualité,10,130,182,8,2,PDT 100%
251,56,1,Phase 1 - Débit / Tronçonnage,12,2,233,8,3,Longueur ±1mm
252,56,2,Phase 2 - Fraisage,9,147,345,18,14,Profondeur ±0.05mm
253,56,3,Phase 3 - Fraisage,6,27,168,43,12,Parallélisme 0.03mm
254,56,4,Phase 4 - Perçage,8,117,51,9,8,Taraudage M6
255,56,5,Phase 5 - Ébavurage,1,109,67,10,2,Rayon R0.2 max
256,57,1,Phase 1 - Débit / Tronçonnage,11,104,302,11,6,
257,57,2,Phase 2 - Perçage,11,109,226,20,8,Perpendicularité 0.05mm
258,57,3,Phase 3 - Tournage,2,125,365,39,5,Surface Ra 1.6µm
259,57,4,Phase 4 - Contrôle qualité,8,122,17,10,6,Contrôle dimensionnel
260,58,1,Phase 1 - Réglement / Montage,2,105,57,3,16,Perpendicularité 0.02mm
261,58,2,Phase 2 - Tournage,2,31,191,29,8,Concentricité 0.01mm
262,58,3,Phase 3 - Tournage,1,37,73,60,12,Diamètre ±0.01mm
263,58,4,Phase 4 - Ébavurage,10,73,111,5,4,Pas d'arêtes vives
264,59,1,Phase 1 - Débit / Tronçonnage,3,18,23,9,5,Planarite 0.3mm
265,59,2,Phase 2 - Fraisage,9,97,244,48,5,Parallélisme 0.03mm
266,59,3,Phase 3 - Fraisage,9,116,342,38,5,Planéité 0.02mm
267,59,4,Phase 4 - Tournage,10,105,199,24,9,Concentricité 0.01mm
268,59,5,Phase 5 - Fraisage,9,72,331,15,5,Surface Ra 3.2µm
269,59,6,Phase 6 - Fraisage,9,144,331,17,13,Surface Ra 3.2µm
270,59,7,Phase 7 - Ébavurage,6,139,296,3,5,
271,60,1,Phase 1 - Débit / Tronçonnage,8,129,10,4,7,Longueur ±1mm
272,60,2,Phase 2 - Rectification,10,53,126,30,10,Surface Ra 0.8µm
273,60,3,Phase 3 - Contrôle qualité,6,83,206,6,5,PDT 100%
274,61,1,Phase 1 - Débit / Tronçonnage,5,107,13,11,4,
275,61,2,Phase 2 - Tournage,1,26,278,20,7,Cylindricité 0.02mm
276,61,3,Phase 3 - Tournage,1,40,158,36,13,Cylindricité 0.02mm
277,61,4,Phase 4 - Ébavurage,3,47,14,3,3,Rayon R0.2 max
278,62,1,Phase 1 - Débit / Tronçonnage,5,106,166,7,5,Cote brute ±0.5mm
279,62,2,Phase 2 - Tournage,2,61,253,42,15,Diamètre ±0.01mm
280,62,3,Phase 3 - Rectification,10,16,163,22,9,Surface Ra 0.8µm
281,62,4,Phase 4 - Fraisage,9,60,10,27,11,Surface Ra 3.2µm
282,62,5,Phase 5 - Ébavurage,11,33,156,12,4,Rayon R0.2 max
283,63,1,Phase 1 - Débit / Tronçonnage,11,53,73,8,6,Longueur ±1mm
284,63,2,Phase 2 - Perçage,11,143,232,6,2,Taraudage M6
285,63,3,Phase 3 - Rectification,6,75,335,13,3,Surface Ra 0.8µm
286,63,4,Phase 4 - Rectification,8,70,307,16,9,Parallélisme 0.01mm
287,63,5,Phase 5 - Perçage,4,150,262,14,2,Perpendicularité 0.05mm
288,63,6,Phase 6 - Contrôle qualité,6,18,154,7,5,PDT 100%
289,64,1,Phase 1 - Réglement / Montage,11,72,222,5,15,Perpendicularité 0.02mm
290,64,2,Phase 2 - Fraisage,9,70,126,30,8,Parallélisme 0.03mm
291,64,3,Phase 3 - Fraisage,9,5,355,18,13,Surface Ra 3.2µm
292,64,4,Phase 4 - Contrôle qualité,1,3,345,10,5,
293,65,1,Phase 1 - Réglement / Montage,11,21,333,3,5,
294,65,2,Phase 2 - Perçage,8,97,308,16,8,Perpendicularité 0.05mm
295,65,3,Phase 3 - Perçage,3,32,237,16,5,Taraudage M6
296,65,4,Phase 4 - Ébavurage,1,72,349,8,2,Pas d'arêtes vives
297,66,1,Phase 1 - Réglement / Montage,9,78,368,5,12,
298,66,2,Phase 2 - Rectification,1,72,253,30,6,Surface Ra 0.8µm
299,66,3,Phase 3 - Tournage,7,29,143,46,11,Diamètre ±0.01mm
300,66,4,Phase 4 - Tournage,2,145,345,53,12,Cylindricité 0.02mm
301,66,5,Phase 5 - Tournage,2,17,66,26,12,Cylindricité 0.02mm
302,66,6,Phase 6 - Contrôle qualité,10,50,348,5,7,Contrôle dimensionnel
303,67,1,Phase 1 - Réglement / Montage,8,1,219,2,15,
304,67,2,Phase 2 - Perçage,11,71,63,21,9,Taraudage M6
305,67,3,Phase 3 - Fraisage,6,58,25,27,9,Profondeur ±0.05mm
306,67,4,Phase 4 - Ébavurage,4,50,172,4,5,Pas d'arêtes vives
307,68,1,Phase 1 - Réglement / Montage,7,109,39,5,11,Parallélisme 0.01mm
308,68,2,Phase 2 - Tournage,1,25,15,40,9,Surface Ra 1.6µm
309,68,3,Phase 3 - Fraisage,9,65,127,16,10,Parallélisme 0.03mm
310,68,4,Phase 4 - Rectification,1,86,267,15,4,
311,68,5,Phase 5 - Perçage,11,149,64,7,2,Diamètre ±0.02mm
312,68,6,Phase 6 - Ébavurage,2,33,32,10,1,Rayon R0.2 max
313,69,1,Phase 1 - Réglement / Montage,4,17,53,2,6,Perpendicularité 0.02mm
314,69,2,Phase 2 - Perçage,11,25,317,18,5,Diamètre ±0.02mm
315,69,3,Phase 3 - Fraisage,9,110,318,49,4,Planéité 0.02mm
316,69,4,Phase 4 - Contrôle qualité,9,7,233,15,6,Mesure 3 points
317,70,1,Phase 1 - Débit / Tronçonnage,1,18,304,15,8,Longueur ±1mm
318,70,2,Phase 2 - Rectification,5,131,132,19,9,
319,70,3,Phase 3 - Perçage,11,48,125,9,2,Diamètre ±0.02mm
320,70,4,Phase 4 - Tournage,10,112,263,51,15,Concentricité 0.01mm
321,70,5,Phase 5 - Tournage,10,38,76,40,7,Concentricité 0.01mm
322,70,6,Phase 6 - Ébavurage,1,133,301,5,1,Pas d'arêtes vives
323,71,1,Phase 1 - Réglement / Montage,11,14,217,7,11,Parallélisme 0.01mm
324,71,2,Phase 2 - Fraisage,6,18,175,22,13,Profondeur ±0.05mm
325,71,3,Phase 3 - Perçage,11,85,297,23,7,Alésage H7
326,71,4,Phase 4 - Ébavurage,5,27,233,3,4,Pas d'arêtes vives
327,72,1,Phase 1 - Réglement / Montage,9,58,355,5,19,Parallélisme 0.01mm
328,72,2,Phase 2 - Tournage,5,97,106,35,5,Surface Ra 1.6µm
329,72,3,Phase 3 - Fraisage,6,92,16,45,4,Parallélisme 0.03mm
330,72,4,Phase 4 - Ébavurage,7,150,392,8,1,Pas d'arêtes vives
331,73,1,Phase 1 - Débit / Tronçonnage,10,45,113,7,7,Longueur ±1mm
332,73,2,Phase 2 - Fraisage,6,46,101,11,5,Planéité 0.02mm
333,73,3,Phase 3 - Rectification,1,36,195,28,4,Parallélisme 0.01mm
334,73,4,Phase 4 - Contrôle qualité,10,117,123,16,8,Contrôle dimensionnel
335,74,1,Phase 1 - Réglement / Montage,11,112,365,3,8,Parallélisme 0.01mm
336,74,2,Phase 2 - Perçage,4,49,99,22,8,Alésage H7
337,74,3,Phase 3 - Ébavurage,4,63,24,12,5,Pas d'arêtes vives
338,75,1,Phase 1 - Réglement / Montage,10,39,168,5,6,Perpendicularité 0.02mm
339,75,2,Phase 2 - Perçage,11,54,373,7,9,Diamètre ±0.02mm
340,75,3,Phase 3 - Ébavurage,4,131,192,10,5,Rayon R0.2 max
341,76,1,Phase 1 - Débit / Tronçonnage,3,135,356,10,7,
342,76,2,Phase 2 - Fraisage,9,150,333,12,6,Parallélisme 0.03mm
