piece_id,reference,designation,famille,matiere_id,poids,dimensions,tolerances,prix_revient
68,REF-PIG-0068,Pignon E-Cu57 0068,Pignon,26,1.1221,244x19x47,+/-0.02,23.43
69,REF-MAN-0069,Manivelle 100Cr6 0069,Manivelle,7,7.092,171x89x75,+/-0.1,141.07
70,REF-SUP-0070,Support 6061 0070,Support,18,3.8135,28x58x46,+/-0.05,67.46
71,REF-PAL-0071,Palier C45E 0071,Palier,2,6.9331,179x79x25,+/-0.05,69.74
72,REF-RES-0072,Ressort 310S 0072,Ressort,13,5.9593,207x96x33,+/-0.1,252.09
73,REF-CLA-0073,Clavette 316L 0073,Clavette,12,7.3983,275x78x20,+/-0.1,183.59
74,REF-ECR-0074,Ecrou 7075 0074,Ecrou,20,7.961,102x149x47,+/-0.05,164.58
75,REF-ARB-0075,Arbre 304L 0075,Arbre,11,5.3043,166x124x87,+/-0.1,131.5
76,REF-DOU-0076,Douille 420 0076,Douille,15,2.8448,31x100x88,+/-0.1,49.86
77,REF-BAG-0077,Bague E-Cu57 0077,Bague,26,7.5858,48x113x56,+/-0.02,296.27
78,REF-RON-0078,Rond 16MnCr5 0078,Rond,5,6.7969,234x18x26,+/-0.01,60.91
79,REF-PLA-0079,Plaque 2017 0079,Plaque,21,2.9623,206x18x87,+/-0.02,52.23
80,REF-FLA-0080,Flasque POM-C 0080,Flasque,31,2.9992,237x29x83,+/-0.02,34.4
81,REF-COU-0081,Coussinet 310S 0081,Coussinet,13,2.5494,152x73x24,+/-0.01,110.62
82,REF-ENG-0082,Engrenage 17-4PH 0082,Engrenage,16,4.1661,297x40x43,+/-0.05,212.98
83,REF-PIG-0083,Pignon 100Cr6 0083,Pignon,7,7.9711,156x135x35,+/-0.01,90.53
84,REF-MAN-0084,Manivelle 20MnCr5 0084,Manivelle,3,3.6437,237x32x97,+/-0.05,48.62
85,REF-SUP-0085,Support CuZn39Pb3 0085,Support,23,0.5663,287x84x48,+/-0.02,16.96
86,REF-PAL-0086,Palier PEEK 0086,Palier,30,5.6167,99x102x75,+/-0.02,1338.4
87,REF-RES-0087,Ressort 100Cr6 0087,Ressort,7,6.3469,131x136x13,+/-0.05,98.63
88,REF-CLA-0088,Clavette 316L 0088,Clavette,12,3.7659,292x43x88,+/-0.01,92.31
89,REF-ECR-0089,Ecrou 310S 0089,Ecrou,13,7.9968,255x144x62,+/-0.1,364.52
90,REF-ARB-0090,Arbre 20MnCr5 0090,Arbre,3,1.0463,172x28x67,+/-0.1,14.06
91,REF-DOU-0091,Douille 316L 0091,Douille,12,1.0703,292x56x26,+/-0.1,37.0
92,REF-BAG-0092,Bague POM 0092,Bague,28,0.4905,73x142x29,+/-0.05,4.0
93,REF-RON-0093,Rond 304L 0093,Rond,11,7.4812,125x98x76,+/-0.05,293.46
94,REF-PLA-0094,Plaque S355J2 0094,Plaque,9,1.6106,292x80x26,+/-0.05,13.65
95,REF-FLA-0095,Flasque 20MnCr5 0095,Flasque,3,4.0455,96x49x31,+/-0.05,59.63
96,REF-COU-0096,Coussinet 6082 0096,Coussinet,19,0.3775,24x30x15,+/-0.05,6.08
97,REF-ENG-0097,Engrenage CuAl10Ni5Fe5 0097,Engrenage,25,4.5985,25x137x90,+/-0.05,207.63
98,REF-PIG-0098,Pignon E360 0098,Pignon,10,3.8894,217x86x68,+/-0.01,32.84
99,REF-MAN-0099,Manivelle 34CrNiMo6 0099,Manivelle,6,3.5449,257x128x36,+/-0.05,64.07
100,REF-SUP-0100,Support 304L 0100,Support,11,6.8988,173x98x61,+/-0.02,258.11
101,REF-PAL-0101,Palier 5083 0101,Palier,17,4.5151,173x71x69,+/-0.01,64.38
102,REF-RES-0102,Ressort X40CrMoV5 0102,Ressort,8,1.17,35x84x59,+/-0.1,18.99
103,REF-CLA-0103,Clavette POM 0103,Clavette,28,7.2234,177x90x34,+/-0.02,75.76
104,REF-ECR-0104,Ecrou 5083 0104,Ecrou,17,3.7612,167x137x12,+/-0.01,82.31
105,REF-ARB-0105,Arbre 5083 0105,Arbre,17,3.685,133x65x84,+/-0.05,43.47
106,REF-DOU-0106,Douille E360 0106,Douille,10,3.9844,250x83x78,+/-0.01,36.8
107,REF-BAG-0107,Bague 410 0107,Bague,14,1.1148,145x103x61,+/-0.05,17.48
108,REF-RON-0108,Rond C45E 0108,Rond,2,4.5837,109x102x80,+/-0.05,34.45
109,REF-PLA-0109,Plaque 5083 0109,Plaque,17,3.6303,291x81x89,+/-0.01,46.1
110,REF-FLA-0110,Flasque 42CrMo4 0110,Flasque,4,3.1815,183x103x28,+/-0.02,48.43
111,REF-COU-0111,Coussinet 310S 0111,Coussinet,13,4.0256,33x19x27,+/-0.05,181.55
112,REF-ENG-0112,Engrenage 5083 0112,Engrenage,17,3.6831,273x45x51,+/-0.05,48.17
113,REF-PIG-0113,Pignon 7075 0113,Pignon,20,5.9276,163x96x74,+/-0.1,189.91
114,REF-MAN-0114,Manivelle E360 0114,Manivelle,10,3.8254,18x104x52,+/-0.01,37.87
115,REF-SUP-0115,Support 6082 0115,Support,19,2.496,23x131x43,+/-0.02,41.89
116,REF-PAL-0116,Palier 6082 0116,Palier,19,3.8696,278x107x28,+/-0.02,38.92
117,REF-RES-0117,Ressort POM-C 0117,Ressort,31,5.6191,107x14x66,+/-0.05,59.79
118,REF-CLA-0118,Clavette 410 0118,Clavette,14,5.5395,220x138x88,+/-0.1,155.62
119,REF-ECR-0119,Ecrou CuSn8 0119,Ecrou,24,5.8328,80x142x36,+/-0.05,276.8
120,REF-ARB-0120,Arbre 17-4PH 0120,Arbre,16,4.2275,170x54x68,+/-0.05,196.11
121,REF-DOU-0121,Douille 5754 0121,Douille,22,6.1873,145x133x34,+/-0.02,79.14
122,REF-BAG-0122,Bague E360 0122,Bague,10,1.8377,162x83x100,+/-0.02,15.53
123,REF-RON-0123,Rond 17-4PH 0123,Rond,16,2.5705,188x80x46,+/-0.01,121.34
124,REF-PLA-0124,Plaque 6061 0124,Plaque,18,3.0686,212x98x28,+/-0.05,30.38
125,REF-FLA-0125,Flasque POM-C 0125,Flasque,31,5.7274,187x123x93,+/-0.05,75.06
126,REF-COU-0126,Coussinet 100Cr6 0126,Coussinet,7,1.6564,285x79x81,+/-0.05,18.84
127,REF-ENG-0127,Engrenage 7075 0127,Engrenage,20,5.9401,132x72x16,+/-0.02,182.43
128,REF-PIG-0128,Pignon C45E 0128,Pignon,2,0.8466,179x130x22,+/-0.02,5.96
129,REF-MAN-0129,Manivelle 6061 0129,Manivelle,18,7.8244,90x114x93,+/-0.1,109.82
130,REF-SUP-0130,Support 100Cr6 0130,Support,7,6.0595,157x92x46,+/-0.01,115.61
131,REF-PAL-0131,Palier 20MnCr5 0131,Palier,3,5.2358,128x146x14,+/-0.02,59.39
132,REF-RES-0132,Ressort PA66 0132,Ressort,27,1.4475,28x111x73,+/-0.02,24.53
133,REF-CLA-0133,Clavette POM-C 0133,Clavette,31,6.9847,158x19x11,+/-0.05,82.14
134,REF-ECR-0134,Ecrou 42CrMo4 0134,Ecrou,4,7.4312,181x82x68,+/-0.1,133.37
135,REF-ARB-0135,Arbre 16MnCr5 0135,Arbre,5,6.8159,249x79x34,+/-0.01,65.76
136,REF-DOU-0136,Douille CuSn8 0136,Douille,24,3.6984,141x57x11,+/-0.05,157.3
137,REF-BAG-0137,Bague 6082 0137,Bague,19,5.4115,108x54x88,+/-0.1,96.4
138,REF-RON-0138,Rond 5083 0138,Rond,17,2.657,215x34x33,+/-0.02,44.16
139,REF-PLA-0139,Plaque PEEK 0139,Plaque,30,2.022,143x108x40,+/-0.1,753.55
140,REF-FLA-0140,Flasque POM-C 0140,Flasque,31,2.6705,15x76x93,+/-0.05,33.9
141,REF-COU-0141,Coussinet C45E 0141,Coussinet,2,5.3589,248x88x30,+/-0.1,63.25
142,REF-ENG-0142,Engrenage PEEK 0142,Engrenage,30,7.1662,169x40x91,+/-0.05,2082.52
143,REF-PIG-0143,Pignon X40CrMoV5 0143,Pignon,8,1.7921,78x132x29,+/-0.1,40.72
144,REF-MAN-0144,Manivelle 7075 0144,Manivelle,20,3.0203,291x130x78,+/-0.02,99.78
145,REF-SUP-0145,Support 5754 0145,Support,22,6.0502,51x144x67,+/-0.05,65.23
146,REF-PAL-0146,Palier 6082 0146,Palier,19,0.9421,290x139x35,+/-0.02,10.7
147,REF-RES-0147,Ressort POM 0147,Ressort,28,4.1867,69x62x84,+/-0.1,31.97
148,REF-CLA-0148,Clavette 5083 0148,Clavette,17,3.5916,38x126x26,+/-0.1,58.86
149,REF-ECR-0149,Ecrou C45E 0149,Ecrou,2,4.4924,167x15x60,+/-0.05,57.12
150,REF-ARB-0150,Arbre CuSn8 0150,Arbre,24,1.7823,47x21x64,+/-0.05,71.98
151,REF-DOU-0151,Douille 6061 0151,Douille,18,7.9533,45x130x14,+/-0.05,106.45
152,REF-BAG-0152,Bague CuAl10Ni5Fe5 0152,Bague,25,1.1267,225x105x58,+/-0.1,57.93
153,REF-RON-0153,Rond PEEK 0153,Rond,30,3.0511,51x148x27,+/-0.05,725.28
154,REF-PLA-0154,Plaque 6061 0154,Plaque,18,3.1748,75x67x10,+/-0.01,59.67
155,REF-FLA-0155,Flasque 420 0155,Flasque,15,5.4043,288x118x78,+/-0.1,135.49
156,REF-COU-0156,Coussinet X40CrMoV5 0156,Coussinet,8,3.712,89x80x34,+/-0.01,49.81
157,REF-ENG-0157,Engrenage 5754 0157,Engrenage,22,3.383,18x71x36,+/-0.01,37.24
158,REF-PIG-0158,Pignon C45E 0158,Pignon,2,3.5992,34x72x15,+/-0.1,36.25
159,REF-MAN-0159,Manivelle 6061 0159,Manivelle,18,1.7773,38x45x74,+/-0.05,20.84
160,REF-SUP-0160,Support PEEK 0160,Support,30,5.8656,173x92x40,+/-0.05,2338.64
161,REF-PAL-0161,Palier 5754 0161,Palier,22,4.1939,221x86x45,+/-0.01,65.29
162,REF-RES-0162,Ressort 6082 0162,Ressort,19,7.0437,99x119x81,+/-0.1,71.9
163,REF-CLA-0163,Clavette 316L 0163,Clavette,12,7.5356,205x144x50,+/-0.1,244.08
164,REF-ECR-0164,Ecrou E360 0164,Ecrou,10,3.0429,285x131x40,+/-0.02,19.79
165,REF-ARB-0165,Arbre CuZn39Pb3 0165,Arbre,23,1.1976,247x24x81,+/-0.1,41.24
166,REF-DOU-0166,Douille 6061 0166,Douille,18,4.2634,208x72x42,+/-0.02,53.88
167,REF-BAG-0167,Bague 20MnCr5 0167,Bague,3,7.3817,199x33x78,+/-0.02,62.1
168,REF-RON-0168,Rond 310S 0168,Rond,13,5.4057,30x28x34,+/-0.02,199.93
169,REF-PLA-0169,Plaque POM 0169,Plaque,28,7.2609,165x13x37,+/-0.02,99.73
170,REF-FLA-0170,Flasque 42CrMo4 0170,Flasque,4,5.9877,255x72x99,+/-0.02,79.44
171,REF-COU-0171,Coussinet X40CrMoV5 0171,Coussinet,8,4.439,154x107x69,+/-0.05,75.51
172,REF-ENG-0172,Engrenage 316L 0172,Engrenage,12,4.1269,264x129x22,+/-0.1,167.21
173,REF-PIG-0173,Pignon 304L 0173,Pignon,11,7.3189,199x90x62,+/-0.01,243.01
174,REF-MAN-0174,Manivelle X40CrMoV5 0174,Manivelle,8,5.943,18x76x80,+/-0.1,100.07
175,REF-SUP-0175,Support 100Cr6 0175,Support,7,2.6724,204x72x73,+/-0.05,33.6
176,REF-PAL-0176,Palier PA66 0176,Palier,27,3.9345,261x127x31,+/-0.05,40.25
177,REF-RES-0177,Ressort CuSn8 0177,Ressort,24,4.395,104x148x92,+/-0.01,159.07
178,REF-CLA-0178,Clavette PA66 0178,Clavette,27,6.7812,34x11x62,+/-0.02,109.33
179,REF-ECR-0179,Ecrou X40CrMoV5 0179,Ecrou,8,0.5903,87x12x37,+/-0.1,10.54
180,REF-ARB-0180,Arbre 7075 0180,Arbre,20,5.1199,257x134x12,+/-0.01,147.09
181,REF-DOU-0181,Douille 410 0181,Douille,14,0.1442,281x80x78,+/-0.05,2.2
182,REF-BAG-0182,Bague PA66 0182,Bague,27,5.598,230x55x23,+/-0.01,74.67
183,REF-RON-0183,Rond X40CrMoV5 0183,Rond,8,1.5759,279x74x55,+/-0.05,36.77
184,REF-PLA-0184,Plaque 20MnCr5 0184,Plaque,3,3.0158,217x127x82,+/-0.02,48.02
185,REF-FLA-0185,Flasque X40CrMoV5 0185,Flasque,8,2.4348,51x18x21,+/-0.1,43.66
186,REF-COU-0186,Coussinet 6061 0186,Coussinet,18,3.8342,14x53x20,+/-0.1,67.22
187,REF-ENG-0187,Engrenage 2017 0187,Engrenage,21,6.2858,299x34x77,+/-0.01,81.17
188,REF-PIG-0188,Pignon PTFE 0188,Pignon,29,6.9515,300x131x44,+/-0.01,401.27
189,REF-MAN-0189,Manivelle 5754 0189,Manivelle,22,7.4084,288x18x32,+/-0.05,75.24
190,REF-SUP-0190,Support 100Cr6 0190,Support,7,4.7169,213x29x48,+/-0.02,73.77
191,REF-PAL-0191,Palier 6082 0191,Palier,19,6.6855,209x148x52,+/-0.1,114.44
192,REF-RES-0192,Ressort 16MnCr5 0192,Ressort,5,6.3345,50x138x54,+/-0.01,50.41
193,REF-CLA-0193,Clavette X40CrMoV5 0193,Clavette,8,6.7175,184x111x51,+/-0.01,142.7
194,REF-ECR-0194,Ecrou E-Cu57 0194,Ecrou,26,7.9411,261x68x55,+/-0.1,227.41
195,REF-ARB-0195,Arbre 5754 0195,Arbre,22,4.7077,204x31x89,+/-0.05,84.65
196,REF-DOU-0196,Douille CuZn39Pb3 0196,Douille,23,0.6344,147x49x58,+/-0.02,19.31
197,REF-BAG-0197,Bague 304L 0197,Bague,11,2.9176,56x11x49,+/-0.1,84.31
198,REF-RON-0198,Rond S355J2 0198,Rond,9,0.8627,54x57x65,+/-0.1,7.05
199,REF-PLA-0199,Plaque 5083 0199,Plaque,17,3.294,23x32x55,+/-0.01,59.18
200,REF-FLA-0200,Flasque E-Cu57 0200,Flasque,26,2.6292,207x13x47,+/-0.1,72.98
201,REF-COU-0201,Coussinet 20MnCr5 0201,Coussinet,3,5.8125,296x72x83,+/-0.02,78.37
202,REF-ENG-0202,Engrenage 34CrNiMo6 0202,Engrenage,6,1.1538,164x78x73,+/-0.02,13.8
203,REF-PIG-0203,Pignon 410 0203,Pignon,14,2.2439,163x133x19,+/-0.05,42.13
204,REF-MAN-0204,Manivelle X40CrMoV5 0204,Manivelle,8,5.7812,263x60x68,+/-0.01,85.34
205,REF-SUP-0205,Support C45 0205,Support,1,7.5931,180x107x52,+/-0.1,63.34
206,REF-PAL-0206,Palier PA66 0206,Palier,27,6.5971,79x86x51,+/-0.02,85.38
207,REF-RES-0207,Ressort 34CrNiMo6 0207,Ressort,6,7.7184,173x84x98,+/-0.1,170.86
208,REF-CLA-0208,Clavette E-Cu57 0208,Clavette,26,1.9773,202x81x60,+/-0.05,44.05
209,REF-ECR-0209,Ecrou 6082 0209,Ecrou,19,1.6384,289x56x97,+/-0.01,31.2
210,REF-ARB-0210,Arbre 420 0210,Arbre,15,7.5467,117x122x47,+/-0.01,188.75
211,REF-DOU-0211,Douille E-Cu57 0211,Douille,26,6.3706,265x45x91,+/-0.05,158.25
212,REF-BAG-0212,Bague 5754 0212,Bague,22,1.2754,226x106x19,+/-0.1,25.39
213,REF-RON-0213,Rond 17-4PH 0213,Rond,16,4.6788,283x139x98,+/-0.1,216.67
214,REF-PLA-0214,Plaque E-Cu57 0214,Plaque,26,7.749,284x31x23,+/-0.02,256.9
215,REF-FLA-0215,Flasque 316L 0215,Flasque,12,1.3724,32x112x52,+/-0.1,34.91
216,REF-COU-0216,Coussinet 42CrMo4 0216,Coussinet,4,2.107,271x142x81,+/-0.02,28.94
217,REF-ENG-0217,Engrenage 310S 0217,Engrenage,13,3.7314,266x48x54,+/-0.01,138.32
218,REF-PIG-0218,Pignon E360 0218,Pignon,10,3.357,53x39x28,+/-0.05,22.02
219,REF-MAN-0219,Manivelle 420 0219,Manivelle,15,6.2849,276x133x54,+/-0.1,94.85
220,REF-SUP-0220,Support CuSn8 0220,Support,24,5.5893,173x27x48,+/-0.01,240.29
221,REF-PAL-0221,Palier 42CrMo4 0221,Palier,4,0.2296,185x37x96,+/-0.02,4.21
222,REF-RES-0222,Ressort CuSn8 0222,Ressort,24,1.9891,99x50x52,+/-0.1,92.52
223,REF-CLA-0223,Clavette X40CrMoV5 0223,Clavette,8,6.3922,104x57x91,+/-0.1,115.97
224,REF-ECR-0224,Ecrou CuSn8 0224,Ecrou,24,4.9322,111x125x85,+/-0.1,162.69
225,REF-ARB-0225,Arbre CuZn39Pb3 0225,Arbre,23,1.7576,152x26x83,+/-0.01,55.35
226,REF-DOU-0226,Douille 6061 0226,Douille,18,1.5363,176x60x68,+/-0.01,18.42
227,REF-BAG-0227,Bague POM 0227,Bague,28,3.9414,170x109x88,+/-0.1,43.79
228,REF-RON-0228,Rond 316L 0228,Rond,12,2.8483,244x54x96,+/-0.05,125.69
229,REF-PLA-0229,Plaque 6082 0229,Plaque,19,0.7238,78x90x25,+/-0.02,9.21
230,REF-FLA-0230,Flasque 34CrNiMo6 0230,Flasque,6,3.0178,82x140x59,+/-0.1,54.2
231,REF-COU-0231,Coussinet 6082 0231,Coussinet,19,3.1005,105x134x91,+/-0.02,47.0
232,REF-ENG-0232,Engrenage 17-4PH 0232,Engrenage,16,2.3462,105x90x67,+/-0.01,131.31
233,REF-PIG-0233,Pignon POM-C 0233,Pignon,31,0.1262,79x59x59,+/-0.1,1.33
234,REF-MAN-0234,Manivelle 17-4PH 0234,Manivelle,16,3.3543,237x135x31,+/-0.01,157.52
235,REF-SUP-0235,Support E-Cu57 0235,Support,26,6.1004,159x18x45,+/-0.02,187.6
236,REF-PAL-0236,Palier 34CrNiMo6 0236,Palier,6,6.2569,299x136x80,+/-0.01,110.7
237,REF-RES-0237,Ressort S355J2 0237,Ressort,9,6.2121,197x148x15,+/-0.1,50.43
238,REF-CLA-0238,Clavette 410 0238,Clavette,14,0.8642,136x86x14,+/-0.1,16.37
239,REF-ECR-0239,Ecrou POM 0239,Ecrou,28,6.543,234x40x40,+/-0.02,82.93
240,REF-ARB-0240,Arbre 6082 0240,Arbre,19,5.5286,229x52x88,+/-0.02,96.21
241,REF-DOU-0241,Douille PA66 0241,Douille,27,1.6952,40x99x78,+/-0.05,23.69
242,REF-BAG-0242,Bague 34CrNiMo6 0242,Bague,6,2.623,159x84x83,+/-0.05,57.61
243,REF-RON-0243,Rond 5083 0243,Rond,17,7.8846,58x44x62,+/-0.01,176.74
244,REF-PLA-0244,Plaque POM 0244,Plaque,28,5.2644,77x73x28,+/-0.05,67.38
245,REF-FLA-0245,Flasque CuAl10Ni5Fe5 0245,Flasque,25,6.7563,211x135x28,+/-0.05,302.44
246,REF-COU-0246,Coussinet 310S 0246,Coussinet,13,3.6433,57x113x75,+/-0.05,154.36
247,REF-ENG-0247,Engrenage PTFE 0247,Engrenage,29,2.9841,259x93x84,+/-0.01,167.31
248,REF-PIG-0248,Pignon POM 0248,Pignon,28,5.8752,244x101x18,+/-0.1,50.08
249,REF-MAN-0249,Manivelle 410 0249,Manivelle,14,6.6075,263x78x51,+/-0.05,132.59
250,REF-SUP-0250,Support 6082 0250,Support,19,1.0882,258x97x97,+/-0.01,11.1
251,REF-PAL-0251,Palier 2017 0251,Palier,21,6.2819,245x14x25,+/-0.02,95.07
252,REF-RES-0252,Ressort C45 0252,Ressort,1,7.9351,229x61x98,+/-0.02,93.34
253,REF-CLA-0253,Clavette E360 0253,Clavette,10,1.3139,150x33x93,+/-0.05,8.21
254,REF-ECR-0254,Ecrou 316L 0254,Ecrou,12,5.3328,94x23x60,+/-0.05,211.7
255,REF-ARB-0255,Arbre CuAl10Ni5Fe5 0255,Arbre,25,1.9114,56x34x10,+/-0.02,77.63
256,REF-DOU-0256,Douille 16MnCr5 0256,Douille,5,4.7698,275x123x11,+/-0.01,58.64
257,REF-BAG-0257,Bague PA66 0257,Bague,27,1.0087,226x43x71,+/-0.01,10.85
258,REF-RON-0258,Rond 20MnCr5 0258,Rond,3,5.8596,62x36x50,+/-0.05,88.17
259,REF-PLA-0259,Plaque 16MnCr5 0259,Plaque,5,3.0926,78x46x18,+/-0.01,36.11
260,REF-FLA-0260,Flasque 34CrNiMo6 0260,Flasque,6,3.5488,119x48x62,+/-0.1,74.26
261,REF-COU-0261,Coussinet 20MnCr5 0261,Coussinet,3,7.1779,81x41x85,+/-0.1,77.61
262,REF-ENG-0262,Engrenage 410 0262,Engrenage,14,2.5503,81x73x45,+/-0.01,47.75
