stock_outil_id,outil_id,quantite_stock,emplacement,seuil_alerte,date_derniere_maj
82,82,8,E2-D18,2,2025-12-31T08:00:00
83,83,7,E2-E17,5,2025-12-31T08:00:00
84,84,15,E2-A9,3,2025-12-31T08:00:00
85,85,6,E5-C1,3,2025-12-31T08:00:00
86,86,12,E3-E19,5,2025-12-31T08:00:00
87,87,8,E2-D18,3,2025-12-31T08:00:00
88,88,6,E3-E18,3,2025-12-31T08:00:00
89,89,8,E3-B8,5,2025-12-31T08:00:00
90,90,7,E2-D2,3,2025-12-31T08:00:00
91,91,12,E4-D13,5,2025-12-31T08:00:00
92,92,13,E2-D2,2,2025-12-31T08:00:00
93,93,9,E5-C4,3,2025-12-31T08:00:00
94,94,2,E5-D1,5,2025-12-31T08:00:00
95,95,3,E4-B3,3,2025-12-31T08:00:00
96,96,13,E3-C20,5,2025-12-31T08:00:00
97,97,7,E1-C18,3,2025-12-31T08:00:00
98,98,6,E4-E2,5,2025-12-31T08:00:00
99,99,2,E2-C8,5,2025-12-31T08:00:00
100,100,2,E4-A4,3,2025-12-31T08:00:00
101,101,3,E3-A2,3,2025-12-31T08:00:00
102,102,13,E1-C12,3,2025-12-31T08:00:00
103,103,7,E2-B17,3,2025-12-31T08:00:00
104,104,10,E2-B6,2,2025-12-31T08:00:00
105,105,10,E4-E8,3,2025-12-31T08:00:00
106,106,15,E5-B8,3,2025-12-31T08:00:00
107,107,11,E3-D9,5,2025-12-31T08:00:00
108,108,1,E4-C18,2,2025-12-31T08:00:00
109,109,2,E4-C19,3,2025-12-31T08:00:00
110,110,11,E4-C15,3,2025-12-31T08:00:00
111,111,4,E4-D4,2,2025-12-31T08:00:00
112,112,7,E5-C19,3,2025-12-31T08:00:00
113,113,12,E3-A13,3,2025-12-31T08:00:00
114,114,1,E5-A20,5,2025-12-31T08:00:00
115,115,8,E3-B20,3,2025-12-31T08:00:00
116,116,4,E2-E9,5,2025-12-31T08:00:00
117,117,13,E2-A2,3,2025-12-31T08:00:00
118,118,13,E4-A19,3,2025-12-31T08:00:00
119,119,12,E2-A10,3,2025-12-31T08:00:00
120,120,12,E4-B7,2,2025-12-31T08:00:00
121,121,13,E5-C17,5,2025-12-31T08:00:00
122,122,15,E3-B9,3,2025-12-31T08:00:00
123,123,13,E3-C4,3,2025-12-31T08:00:00
124,124,2,E2-B13,5,2025-12-31T08:00:00
125,125,6,E1-D1,3,2025-12-31T08:00:00
126,126,9,E1-D12,5,2025-12-31T08:00:00
127,127,12,E3-E13,5,2025-12-31T08:00:00
128,128,6,E1-B16,2,2025-12-31T08:00:00
129,129,10,E5-C20,2,2025-12-31T08:00:00
130,130,11,E1-D10,5,2025-12-31T08:00:00
131,131,7,E1-B2,2,2025-12-31T08:00:00
132,132,5,E4-A4,2,2025-12-31T08:00:00
133,133,15,E5-B13,3,2025-12-31T08:00:00
134,134,6,E5-D19,5,2025-12-31T08:00:00
135,135,12,E2-D4,3,2025-12-31T08:00:00
136,136,10,E4-C2,5,2025-12-31T08:00:00
137,137,6,E2-D15,2,2025-12-31T08:00:00
138,138,14,E3-A12,5,2025-12-31T08:00:00
139,139,15,E3-A13,3,2025-12-31T08:00:00
140,140,4,E1-D3,5,2025-12-31T08:00:00
141,141,4,E5-A2,3,2025-12-31T08:00:00
142,142,4,E2-E7,2,2025-12-31T08:00:00
143,143,14,E5-B19,2,2025-12-31T08:00:00
144,144,14,E2-C5,5,2025-12-31T08:00:00
145,145,1,E3-B5,5,2025-12-31T08:00:00
146,146,5,E2-A1,2,2025-12-31T08:00:00
147,147,1,E3-B19,3,2025-12-31T08:00:00
148,148,1,E2-C2,2,2025-12-31T08:00:00
149,149,12,E4-E4,5,2025-12-31T08:00:00
150,150,2,E4-D12,5,2025-12-31T08:00:00
