outil_id,code,designation,type_outil,diametre,matiere_outil,duree_vie_totale,usure_actuelle,duree_vie_restante,cout_achat,cout_remplacement,disponible
86,OUT0086,Alesoir Carbure 12.0mm,Alesoir,12.0,Carbure,259,34,225,66.43,78.67,1
87,OUT0087,Alesoir Carbure 14.0mm,Alesoir,14.0,Carbure,355,26,329,128.62,185.36,1
88,OUT0088,Alesoir Carbure 16.0mm,Alesoir,16.0,Carbure,438,125,313,84.16,123.15,1
89,OUT0089,Alesoir Carbure 18.0mm,Alesoir,18.0,Carbure,206,5,201,156.75,224.43,1
90,OUT0090,Alesoir Carbure 20.0mm,Alesoir,20.0,Carbure,202,0,202,120.04,138.33,1
91,OUT0091,Alesoir Carbure 25.0mm,Alesoir,25.0,Carbure,314,20,294,241.78,319.31,1
92,OUT0092,Taraud HSS 4.0mm,Taraud,4.0,HSS,398,71,327,12.35,13.96,1
93,OUT0093,Taraud HSS 5.0mm,Taraud,5.0,HSS,533,38,495,39.55,56.71,1
94,OUT0094,Taraud HSS 6.0mm,Taraud,6.0,HSS,478,141,337,26.0,29.93,1
95,OUT0095,Taraud HSS 8.0mm,Taraud,8.0,HSS,337,46,291,88.73,125.86,1
96,OUT0096,Taraud HSS 10.0mm,Taraud,10.0,HSS,200,57,143,62.2,85.39,1
97,OUT0097,Taraud HSS 12.0mm,Taraud,12.0,HSS,521,26,495,74.2,98.24,1
98,OUT0098,Taraud Carbure 6.0mm,Taraud,6.0,Carbure,388,79,309,58.47,85.97,1
99,OUT0099,Taraud Carbure 8.0mm,Taraud,8.0,Carbure,301,20,281,94.29,134.3,1
100,OUT0100,Taraud Carbure 10.0mm,Taraud,10.0,Carbure,391,3,388,46.14,67.82,1
101,OUT0101,Plateau Acier 200.0mm,Plateau,200.0,Acier,8409,1686,6723,2044.02,2954.89,1
102,OUT0102,Plateau Acier 250.0mm,Plateau,250.0,Acier,8641,1016,7625,1350.31,1910.62,1
103,OUT0103,Plateau Acier 300.0mm,Plateau,300.0,Acier,2885,391,2494,3254.85,4698.17,1
104,OUT0104,Mandrin Acier 80.0mm,Mandrin,80.0,Acier,3822,408,3414,827.94,1063.18,1
105,OUT0105,Mandrin Acier 100.0mm,Mandrin,100.0,Acier,4500,466,4034,500.63,682.87,1
106,OUT0106,Mandrin Acier 125.0mm,Mandrin,125.0,Acier,5264,672,4592,688.43,776.39,1
107,OUT0107,Mandrin Acier 160.0mm,Mandrin,160.0,Acier,8335,1143,7192,985.65,1285.05,1
108,OUT0108,Mandrin serrage Acier 50.0mm,Mandrin serrage,50.0,Acier,7566,2196,5370,299.02,332.22,1
109,OUT0109,Mandrin serrage Acier 63.0mm,Mandrin serrage,63.0,Acier,9184,1069,8115,290.25,431.03,1
110,OUT0110,Mandrin serrage Acier 80.0mm,Mandrin serrage,80.0,Acier,4174,78,4096,318.05,405.14,1
111,OUT0111,Foret HSS 3.0mm,Foret,3.0,HSS,553,80,473,20.78,31.04,1
112,OUT0112,Foret HSS 4.0mm,Foret,4.0,HSS,239,49,190,44.38,52.19,1
113,OUT0113,Foret HSS 5.0mm,Foret,5.0,HSS,202,45,157,34.62,45.28,1
114,OUT0114,Foret HSS 6.0mm,Foret,6.0,HSS,592,137,455,55.09,81.32,1
115,OUT0115,Foret HSS 8.0mm,Foret,8.0,HSS,557,50,507,50.22,56.65,1
116,OUT0116,Foret HSS 10.0mm,Foret,10.0,HSS,520,84,436,86.08,117.53,1
117,OUT0117,Foret HSS 12.0mm,Foret,12.0,HSS,243,38,205,90.77,124.06,1
118,OUT0118,Foret HSS 14.0mm,Foret,14.0,HSS,347,51,296,129.85,171.63,1
119,OUT0119,Foret HSS 16.0mm,Foret,16.0,HSS,278,53,225,143.75,179.93,1
120,OUT0120,Foret HSS 20.0mm,Foret,20.0,HSS,563,44,519,170.79,208.43,1
121,OUT0121,Foret Carbure 6.0mm,Foret,6.0,Carbure,460,0,460,34.41,40.74,1
122,OUT0122,Foret Carbure 8.0mm,Foret,8.0,Carbure,582,148,434,67.68,83.17,1
123,OUT0123,Foret Carbure 10.0mm,Foret,10.0,Carbure,406,56,350,90.81,118.46,1
124,OUT0124,Foret Carbure 12.0mm,Foret,12.0,Carbure,586,43,543,107.16,130.04,1
125,OUT0125,Foret Carbure 14.0mm,Foret,14.0,Carbure,519,85,434,53.77,79.62,1
126,OUT0126,Foret Carbure 16.0mm,Foret,16.0,Carbure,300,86,214,92.7,131.88,1
127,OUT0127,Foret Carbure 20.0mm,Foret,20.0,Carbure,255,3,252,68.32,102.04,1
128,OUT0128,Foret Carbure 25.0mm,Foret,25.0,Carbure,492,18,474,177.47,258.12,1
129,OUT0129,Fraise Carbure 6.0mm,Fraise,6.0,Carbure,474,49,425,56.79,71.19,1
130,OUT0130,Fraise Carbure 8.0mm,Fraise,8.0,Carbure,384,31,353,34.63,47.62,1
131,OUT0131,Fraise Carbure 10.0mm,Fraise,10.0,Carbure,564,27,537,100.06,118.82,1
132,OUT0132,Fraise Carbure 12.0mm,Fraise,12.0,Carbure,591,132,459,86.17,114.0,1
133,OUT0133,Fraise Carbure 16.0mm,Fraise,16.0,Carbure,242,58,184,67.2,86.41,1
134,OUT0134,Fraise Carbure 20.0mm,Fraise,20.0,Carbure,451,81,370,231.01,336.48,1
135,OUT0135,Fraise Carbure 25.0mm,Fraise,25.0,Carbure,493,129,364,171.02,250.16,1
136,OUT0136,Fraise HSS 8.0mm,Fraise,8.0,HSS,408,114,294,35.46,51.23,1
137,OUT0137,Fraise HSS 10.0mm,Fraise,10.0,HSS,410,33,377,97.66,140.23,1
138,OUT0138,Fraise HSS 12.0mm,Fraise,12.0,HSS,321,66,255,88.34,105.63,1
139,OUT0139,Fraise HSS 16.0mm,Fraise,16.0,HSS,405,9,396,150.75,179.96,1
140,OUT0140,Alesoir Carbure 10.0mm,Alesoir,10.0,Carbure,351,40,311,110.37,124.96,1
141,OUT0141,Alesoir Carbure 12.0mm,Alesoir,12.0,Carbure,257,29,228,77.37,89.84,1
142,OUT0142,Alesoir Carbure 14.0mm,Alesoir,14.0,Carbure,289,8,281,94.27,116.17,1
143,OUT0143,Alesoir Carbure 16.0mm,Alesoir,16.0,Carbure,418,53,365,56.97,81.65,1
144,OUT0144,Alesoir Carbure 18.0mm,Alesoir,18.0,Carbure,379,98,281,148.62,204.83,1
145,OUT0145,Alesoir Carbure 20.0mm,Alesoir,20.0,Carbure,571,147,424,128.47,141.62,1
146,OUT0146,Alesoir Carbure 25.0mm,Alesoir,25.0,Carbure,360,38,322,244.53,352.46,1
147,OUT0147,Taraud HSS 4.0mm,Taraud,4.0,HSS,394,68,326,38.91,51.3,1
148,OUT0148,Taraud HSS 5.0mm,Taraud,5.0,HSS,488,56,432,36.97,44.7,1
149,OUT0149,Taraud HSS 6.0mm,Taraud,6.0,HSS,428,7,421,39.0,53.33,1
150,OUT0150,Taraud HSS 8.0mm,Taraud,8.0,HSS,588,103,485,76.14,109.35,1
